Web Search interest
United States; Past 90 days

Interest over time
Day,Shopping
2014-06-17,+0%
2014-06-18,+1%
2014-06-19,-1%
2014-06-20,+4%
2014-06-21,+11%
2014-06-22,+14%
2014-06-23,+1%
2014-06-24,+0%
2014-06-25,+2%
2014-06-26,+0%
2014-06-27,+4%
2014-06-28,+16%
2014-06-29,+14%
2014-06-30,+2%
2014-07-01,+2%
2014-07-02,+2%
2014-07-03,+7%
2014-07-04,+10%
2014-07-05,+10%
2014-07-06,+14%
2014-07-07,+5%
2014-07-08,+1%
2014-07-09,+0%
2014-07-10,+1%
2014-07-11,+4%
2014-07-12,+10%
2014-07-13,+12%
2014-07-14,+4%
2014-07-15,+1%
2014-07-16,+5%
2014-07-17,+4%
2014-07-18,+6%
2014-07-19,+16%
2014-07-20,+16%
2014-07-21,+4%
2014-07-22,+4%
2014-07-23,+5%
2014-07-24,+6%
2014-07-25,+6%
2014-07-26,+17%
2014-07-27,+20%
2014-07-28,+10%
2014-07-29,+6%
2014-07-30,+7%
2014-07-31,+5%
2014-08-01,+7%
2014-08-02,+20%
2014-08-03,+22%
2014-08-04,+6%
2014-08-05,+5%
2014-08-06,+5%
2014-08-07,+9%
2014-08-08,+9%
2014-08-09,+19%
2014-08-10,+17%
2014-08-11,+2%
2014-08-12,-2%
2014-08-13,+2%
2014-08-14,+4%
2014-08-15,+7%
2014-08-16,+20%
2014-08-17,+23%
2014-08-18,+10%
2014-08-19,+5%
2014-08-20,+5%
2014-08-21,+5%
2014-08-22,+6%
2014-08-23,+21%
2014-08-24,+20%
2014-08-25,+1%
2014-08-26,+2%
2014-08-27,+2%
2014-08-28,+6%
2014-08-29,+7%
2014-08-30,+20%
2014-08-31,+22%
2014-09-01,+23%
2014-09-02,-1%
2014-09-03,-5%
2014-09-04,+7%
2014-09-05,+4%
2014-09-06,+16%
2014-09-07,+15%
2014-09-08,-1%
2014-09-09,-2%
2014-09-10,-4%
2014-09-11,-4%
2014-09-12,+2%
2014-09-13,+20%
2014-09-14,+19%
2014-09-15, 
2014-09-16, 



Top searches
amazon,100
walmart,80
ebay,75
coupons,55
netflix,55
target,45
nike,30
google,30
best buy,25
pandora,25
xbox,25
costco,20
craigslist,20
white,20
nordstrom,20
jcpenney,15
sears,15
lego,15
kohls,15
gamestop,15



Rising searches
ice bucket challenge,Breakout
joan rivers,+2,800%
spirit halloween,+1,150%
halloween costumes,+850%
homecoming dresses,+700%
iphone 6,+200%
transformers 4,+170%
cam newton,+150%
ynet,+100%
chegg,+80%



