Web Search interest
United States; 2011

Interest over time
Week,Arts & Entertainment
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-1%
2011-01-16 - 2011-01-22,+2%
2011-01-23 - 2011-01-29,+0%
2011-01-30 - 2011-02-05,+0%
2011-02-06 - 2011-02-12,+3%
2011-02-13 - 2011-02-19,+2%
2011-02-20 - 2011-02-26,+1%
2011-02-27 - 2011-03-05,+4%
2011-03-06 - 2011-03-12,-2%
2011-03-13 - 2011-03-19,+0%
2011-03-20 - 2011-03-26,-1%
2011-03-27 - 2011-04-02,-1%
2011-04-03 - 2011-04-09,+1%
2011-04-10 - 2011-04-16,-1%
2011-04-17 - 2011-04-23,+0%
2011-04-24 - 2011-04-30,+2%
2011-05-01 - 2011-05-07,+2%
2011-05-08 - 2011-05-14,+1%
2011-05-15 - 2011-05-21,+3%
2011-05-22 - 2011-05-28,+4%
2011-05-29 - 2011-06-04,+0%
2011-06-05 - 2011-06-11,+1%
2011-06-12 - 2011-06-18,+0%
2011-06-19 - 2011-06-25,+2%
2011-06-26 - 2011-07-02,+3%
2011-07-03 - 2011-07-09,+3%
2011-07-10 - 2011-07-16,+4%
2011-07-17 - 2011-07-23,+2%
2011-07-24 - 2011-07-30,+3%
2011-07-31 - 2011-08-06,+4%
2011-08-07 - 2011-08-13,+0%
2011-08-14 - 2011-08-20,+3%
2011-08-21 - 2011-08-27,+0%
2011-08-28 - 2011-09-03,+0%
2011-09-04 - 2011-09-10,+0%
2011-09-11 - 2011-09-17,-2%
2011-09-18 - 2011-09-24,-2%
2011-09-25 - 2011-10-01,-4%
2011-10-02 - 2011-10-08,-3%
2011-10-09 - 2011-10-15,-2%
2011-10-16 - 2011-10-22,-1%
2011-10-23 - 2011-10-29,-1%
2011-10-30 - 2011-11-05,+2%
2011-11-06 - 2011-11-12,+3%
2011-11-13 - 2011-11-19,+2%
2011-11-20 - 2011-11-26,+8%
2011-11-27 - 2011-12-03,-1%
2011-12-04 - 2011-12-10,-3%
2011-12-11 - 2011-12-17,+0%
2011-12-18 - 2011-12-24,+0%
2011-12-25 - 2011-12-31,+8%



Top searches
youtube,100
lyrics,90
you,45
movies,30
music,30
games,25
netflix,20
facebook,15
you tube,15
google,10
mp3,10
live,10
hulu,10
imdb,10
disney,10
yahoo,5
lil wayne,5
twitter,5
free games,5
online games,5



Rising searches
youtube to mp3,+250%
chris brown,+110%
redbox,+90%
selena gomez,+80%
netflix,+70%
beyonce,+60%
google,+50%
amazon,+40%
dictionary,+40%
pbs,+40%



