Web Search interest
United States; Past 7 days

Interest over time
Day,Games
2014-09-10,+0%
2014-09-11,+4%
2014-09-12,+5%
2014-09-13,+20%
2014-09-14,+23%
2014-09-15, 
2014-09-16, 



Top searches
games,100
lottery,50
game,45
xbox,35
destiny,25
pokemon,20
cool math,20
cool games,20
cool math games,20
ps4,15
gta,15
sims,15
xbox one,15
minecraft,10
powerball,10
skyrim,10
mario,10
free games,10
smash bros,10
crossword,10



Rising searches
destiny review,+500%
destiny,+300%
destiny xbox 360,+300%
bungie,+250%
destiny xbox one,+170%
destiny ps4,+140%
smash bros,+90%
fifa 15,+80%
super smash bros,+80%
vanguard,+80%



