Web Search interest
United States; Past 30 days

Interest over time
Day,Hobbies & Leisure
2014-08-17,+0%
2014-08-18,-16%
2014-08-19,-15%
2014-08-20,-16%
2014-08-21,-14%
2014-08-22,-12%
2014-08-23,-3%
2014-08-24,-4%
2014-08-25,-18%
2014-08-26,-19%
2014-08-27,-16%
2014-08-28,-17%
2014-08-29,-14%
2014-08-30,-6%
2014-08-31,-3%
2014-09-01,-2%
2014-09-02,-18%
2014-09-03,-22%
2014-09-04,-21%
2014-09-05,-18%
2014-09-06,-9%
2014-09-07,-8%
2014-09-08,-19%
2014-09-09,-21%
2014-09-10,-22%
2014-09-11,-20%
2014-09-12,-17%
2014-09-13,-6%
2014-09-14,-9%
2014-09-15, 
2014-09-16, 



Top searches
dog,100
lottery,95
cat,45
dogs,45
puppies,35
labor day,25
horse,20
kayak,20
cats,20
happy birthday,20
flowers,15
halloween,15
petsmart,15
mega millions,15
anaconda,15
shark,15
labor day 2014,10
bikes,10
walmart,10
lotto,10



Rising searches
anaconda lyrics,+1,350%
grouper,+650%
anaconda,+400%
ice bucket challenge,+400%
oktoberfest,+300%
halloween,+200%
rosh hashanah,+160%
fall,+130%
labor day,+120%
dolphin,+60%



