Web Search interest
United States; 2010

Interest over time
Week,Autos & Vehicles
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-1%
2010-01-17 - 2010-01-23,+0%
2010-01-24 - 2010-01-30,+0%
2010-01-31 - 2010-02-06,+1%
2010-02-07 - 2010-02-13,-3%
2010-02-14 - 2010-02-20,+1%
2010-02-21 - 2010-02-27,+1%
2010-02-28 - 2010-03-06,+2%
2010-03-07 - 2010-03-13,+5%
2010-03-14 - 2010-03-20,+9%
2010-03-21 - 2010-03-27,+6%
2010-03-28 - 2010-04-03,+8%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,+6%
2010-04-18 - 2010-04-24,+3%
2010-04-25 - 2010-05-01,+7%
2010-05-02 - 2010-05-08,+5%
2010-05-09 - 2010-05-15,+6%
2010-05-16 - 2010-05-22,+10%
2010-05-23 - 2010-05-29,+8%
2010-05-30 - 2010-06-05,+10%
2010-06-06 - 2010-06-12,+9%
2010-06-13 - 2010-06-19,+11%
2010-06-20 - 2010-06-26,+14%
2010-06-27 - 2010-07-03,+10%
2010-07-04 - 2010-07-10,+9%
2010-07-11 - 2010-07-17,+11%
2010-07-18 - 2010-07-24,+15%
2010-07-25 - 2010-07-31,+15%
2010-08-01 - 2010-08-07,+9%
2010-08-08 - 2010-08-14,+9%
2010-08-15 - 2010-08-21,+13%
2010-08-22 - 2010-08-28,+10%
2010-08-29 - 2010-09-04,+8%
2010-09-05 - 2010-09-11,+7%
2010-09-12 - 2010-09-18,+5%
2010-09-19 - 2010-09-25,+8%
2010-09-26 - 2010-10-02,+1%
2010-10-03 - 2010-10-09,+2%
2010-10-10 - 2010-10-16,+0%
2010-10-17 - 2010-10-23,+0%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,-7%
2010-11-07 - 2010-11-13,-5%
2010-11-14 - 2010-11-20,-2%
2010-11-21 - 2010-11-27,-3%
2010-11-28 - 2010-12-04,-6%
2010-12-05 - 2010-12-11,-8%
2010-12-12 - 2010-12-18,-8%
2010-12-19 - 2010-12-25,-5%
2010-12-26 - 2011-01-01,+2%



Top searches
car,100
ford,100
honda,85
toyota,75
cars,70
nissan,50
dmv,45
bmw,45
chevy,45
dodge,40
tires,40
blue book,35
jeep,35
craigslist,30
ebay,30
chevrolet,30
auto parts,30
audi,25
mercedes,25
used cars,25



Rising searches
2010 movies,+1,450%
office 2010,+500%
toyota recall,+450%
airplanes,+250%
2010 calendar,+190%
ford fiesta,+150%
hyundai sonata,+120%
kelley blue book,+90%
bmw usa,+80%
evo,+80%



