Web Search interest
United States; Past 7 days

Interest over time
Day,Travel
2014-09-10,+0%
2014-09-11,+2%
2014-09-12,+3%
2014-09-13,+2%
2014-09-14,+1%
2014-09-15, 
2014-09-16, 



Top searches
hotel,100
hotels,90
southwest,85
flights,80
las vegas,75
flight,60
southwest airlines,50
united,50
delta,45
american,45
rental car,45
united airlines,35
expedia,35
marriott,35
american airlines,30
hilton,30
cheap flights,25
amtrak,25
enterprise,25
tripadvisor,20



Rising searches
chris davis,+2,100%
isil,+250%
isis vs isil,+250%
trinidad james,+250%
isil and isis,+200%
isis or isil,+190%
isis,+170%
levant,+130%
graceland,+90%
las vegas news,+80%



