Web Search interest
United States; Past 7 days

Interest over time
Day,Home & Garden
2014-09-10,+0%
2014-09-11,+1%
2014-09-12,+2%
2014-09-13,+14%
2014-09-14,+15%
2014-09-15, 
2014-09-16, 



Top searches
home depot,100
furniture,80
lowes,70
ikea,35
bed bath beyond,25
mattress,25
shower,20
amazon,20
pottery barn,20
walmart,20
amc,20
target,15
refrigerator,15
box,15
sears,15
bedding,15
king,15
menards,10
toilet,10
clock,10



Rising searches
destiny gold chests,Breakout
golden chests destiny,Breakout
vermin,Breakout
jax teller,+200%
amc 30,+40%
honeywell thermostat,+40%
moen faucets,+40%



