Web Search interest
United States; Past 30 days

Interest over time
Day,Jobs & Education
2014-08-17,+0%
2014-08-18,+65%
2014-08-19,+63%
2014-08-20,+61%
2014-08-21,+61%
2014-08-22,+49%
2014-08-23,+9%
2014-08-24,+14%
2014-08-25,+75%
2014-08-26,+74%
2014-08-27,+67%
2014-08-28,+67%
2014-08-29,+51%
2014-08-30,+12%
2014-08-31,-2%
2014-09-01,+11%
2014-09-02,+74%
2014-09-03,+70%
2014-09-04,+63%
2014-09-05,+53%
2014-09-06,+16%
2014-09-07,+12%
2014-09-08,+67%
2014-09-09,+65%
2014-09-10,+61%
2014-09-11,+54%
2014-09-12,+49%
2014-09-13,+12%
2014-09-14,+11%
2014-09-15, 
2014-09-16, 



Top searches
college,100
jobs,90
education,20
test,20
blackboard,15
als,15
academy,15
indeed,15
resume,10
classroom,10
barnes and noble,5
rate my professor,5
google classroom,5
notre dame,5
powerschool,5
kindergarten,5
moodle,5
cover letter,5
interview questions,5
nebraska,5



Rising searches
google classroom,+1,500%
als,+250%
moodle,+200%
d2l,+190%
blackboard,+180%
powerschool,+110%
classroom,+100%
notre dame,+100%
skyward,+80%
parent portal,+70%



