Web Search interest
United States; 2008

Interest over time
Week,Games
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,+3%
2008-01-27 - 2008-02-02,-1%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,+0%
2008-02-17 - 2008-02-23,+9%
2008-02-24 - 2008-03-01,-1%
2008-03-02 - 2008-03-08,+0%
2008-03-09 - 2008-03-15,+3%
2008-03-16 - 2008-03-22,+7%
2008-03-23 - 2008-03-29,+3%
2008-03-30 - 2008-04-05,+0%
2008-04-06 - 2008-04-12,-1%
2008-04-13 - 2008-04-19,-3%
2008-04-20 - 2008-04-26,-3%
2008-04-27 - 2008-05-03,+4%
2008-05-04 - 2008-05-10,+1%
2008-05-11 - 2008-05-17,+4%
2008-05-18 - 2008-05-24,+3%
2008-05-25 - 2008-05-31,+10%
2008-06-01 - 2008-06-07,+7%
2008-06-08 - 2008-06-14,+9%
2008-06-15 - 2008-06-21,+7%
2008-06-22 - 2008-06-28,+12%
2008-06-29 - 2008-07-05,+13%
2008-07-06 - 2008-07-12,+7%
2008-07-13 - 2008-07-19,+9%
2008-07-20 - 2008-07-26,+6%
2008-07-27 - 2008-08-02,+10%
2008-08-03 - 2008-08-09,+7%
2008-08-10 - 2008-08-16,+6%
2008-08-17 - 2008-08-23,+1%
2008-08-24 - 2008-08-30,+1%
2008-08-31 - 2008-09-06,+3%
2008-09-07 - 2008-09-13,-6%
2008-09-14 - 2008-09-20,+0%
2008-09-21 - 2008-09-27,-3%
2008-09-28 - 2008-10-04,+0%
2008-10-05 - 2008-10-11,+0%
2008-10-12 - 2008-10-18,+7%
2008-10-19 - 2008-10-25,+4%
2008-10-26 - 2008-11-01,+3%
2008-11-02 - 2008-11-08,+4%
2008-11-09 - 2008-11-15,+13%
2008-11-16 - 2008-11-22,+10%
2008-11-23 - 2008-11-29,+26%
2008-11-30 - 2008-12-06,+10%
2008-12-07 - 2008-12-13,+14%
2008-12-14 - 2008-12-20,+22%
2008-12-21 - 2008-12-27,+45%
2008-12-28 - 2009-01-03,+38%



Top searches
games,100
game,45
cheats,25
wow,25
wii,20
lottery,20
free games,20
xbox,15
online games,15
juegos,10
runescape,10
pokemon,10
mario,10
ps3,10
xbox 360,10
psp,10
addicting,10
guitar hero,10
addicting games,10
free online games,5



Rising searches
jogos,+1,750%
wii fit,+1,600%
fallout 3,+1,400%
gta 4,+750%
juegos,+500%
rock band,+190%
warhammer,+120%
call of duty,+80%
youtube,+80%
ps3,+50%



