Web Search interest
United States; Past 7 days

Interest over time
Day,Computers & Electronics
2014-09-10,+0%
2014-09-11,-5%
2014-09-12,-5%
2014-09-13,-20%
2014-09-14,-21%
2014-09-15, 
2014-09-16, 



Top searches
apple,100
google,60
mac,30
xbox,25
chrome,25
iphone 6,20
drive,20
hp,20
microsoft,20
excel,15
apple store,15
itunes,15
docs,15
paypal,15
amazon,15
java,10
ipad,10
google docs,10
adobe,10
dell,10



Rising searches
apple iwatch,+2,150%
iwatch,+1,300%
apple event,+950%
apple iphone 6,+850%
apple 6,+750%
iphone 6,+500%
ios 8,+300%
destiny,+250%
apple,+200%
apple store,+110%



