Web Search interest
United States; 2007

Interest over time
Week,Health
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-5%
2007-01-21 - 2007-01-27,+2%
2007-01-28 - 2007-02-03,+0%
2007-02-04 - 2007-02-10,-1%
2007-02-11 - 2007-02-17,+1%
2007-02-18 - 2007-02-24,+1%
2007-02-25 - 2007-03-03,-3%
2007-03-04 - 2007-03-10,+2%
2007-03-11 - 2007-03-17,-3%
2007-03-18 - 2007-03-24,-3%
2007-03-25 - 2007-03-31,+3%
2007-04-01 - 2007-04-07,-4%
2007-04-08 - 2007-04-14,-4%
2007-04-15 - 2007-04-21,+0%
2007-04-22 - 2007-04-28,-2%
2007-04-29 - 2007-05-05,+0%
2007-05-06 - 2007-05-12,-2%
2007-05-13 - 2007-05-19,-1%
2007-05-20 - 2007-05-26,-7%
2007-05-27 - 2007-06-02,-7%
2007-06-03 - 2007-06-09,-2%
2007-06-10 - 2007-06-16,-4%
2007-06-17 - 2007-06-23,-4%
2007-06-24 - 2007-06-30,-4%
2007-07-01 - 2007-07-07,-11%
2007-07-08 - 2007-07-14,-3%
2007-07-15 - 2007-07-21,-2%
2007-07-22 - 2007-07-28,-5%
2007-07-29 - 2007-08-04,-3%
2007-08-05 - 2007-08-11,-10%
2007-08-12 - 2007-08-18,-5%
2007-08-19 - 2007-08-25,-6%
2007-08-26 - 2007-09-01,-5%
2007-09-02 - 2007-09-08,-5%
2007-09-09 - 2007-09-15,-3%
2007-09-16 - 2007-09-22,-1%
2007-09-23 - 2007-09-29,+0%
2007-09-30 - 2007-10-06,-3%
2007-10-07 - 2007-10-13,-3%
2007-10-14 - 2007-10-20,+1%
2007-10-21 - 2007-10-27,+0%
2007-10-28 - 2007-11-03,-1%
2007-11-04 - 2007-11-10,+0%
2007-11-11 - 2007-11-17,+2%
2007-11-18 - 2007-11-24,-11%
2007-11-25 - 2007-12-01,-4%
2007-12-02 - 2007-12-08,-5%
2007-12-09 - 2007-12-15,-11%
2007-12-16 - 2007-12-22,-15%
2007-12-23 - 2007-12-29,-25%
2007-12-30 - 2008-01-05,-12%



Top searches
health,100
symptoms,75
nursing,35
heart,35
dr,30
webmd,25
diabetes,20
calories,20
drugs,20
web md,20
marijuana,20
nutrition,15
walgreens,15
depression,15
blood pressure,15
herpes,15
autism,15
hiv,10
breast cancer,10
aids,10



Rising searches
frank lucas,Breakout
chantix,+200%
mrsa,+180%
sexual positions,+150%
staph infection,+90%
labcorp,+60%
vitamin d,+50%
wikipedia,+50%
lifehouse,+40%
master cleanse,+40%



