Web Search interest
United States; Past 7 days

Interest over time
Day,Online Communities
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,+4%
2014-09-13,+10%
2014-09-14,+9%
2014-09-15, 
2014-09-16, 



Top searches
facebook,100
twitter,5
tumblr,5
facebook login,5
linkedin,0
wallpaper,0
gif,0
torrent,0
images,0
pof,0
face,0
clip art,0
shutterfly,0
okcupid,0
wallpapers,0
pirate bay,0
icon,0
instagram,0
backgrounds,0
background,0



Rising searches
9/11 photos,Breakout
maria belen chapur,Breakout
fall wallpaper,+100%
mashable,+70%
destiny wallpaper,+60%
descargar whatsapp,+50%
eztv,+50%
facebook login,+40%
fit bit,+40%
onet,+40%



