Web Search interest
United States; Past 7 days

Interest over time
Day,Finance
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,+2%
2014-09-13,-27%
2014-09-14,-37%
2014-09-15, 
2014-09-16, 



Top searches
bank,100
credit,70
wells fargo,35
chase,35
bank of america,30
capital one,20
calculator,15
chase online,10
american express,10
money,10
pnc,5
citibank,5
credit one,5
chase bank,5
usaa,5
us bank,5
finance,5
wells fargo online,5
state farm,5
geico,5



Rising searches
aapl stock,+80%
fx schedule,+50%
apmex,+40%
cnn money,+40%
eftps,+40%
fx,+40%
mercury insurance,+40%
vystar credit union,+40%
www.bankofamerica.com onlinebanking,+40%



