Web Search interest
United States; Past 90 days

Interest over time
Day,Games
2014-06-17,+0%
2014-06-18,+0%
2014-06-19,+5%
2014-06-20,+4%
2014-06-21,+14%
2014-06-22,+20%
2014-06-23,+1%
2014-06-24,+1%
2014-06-25,+0%
2014-06-26,+2%
2014-06-27,+0%
2014-06-28,+16%
2014-06-29,+19%
2014-06-30,-1%
2014-07-01,-1%
2014-07-02,-4%
2014-07-03,+2%
2014-07-04,+13%
2014-07-05,+16%
2014-07-06,+17%
2014-07-07,-1%
2014-07-08,-1%
2014-07-09,-2%
2014-07-10,+1%
2014-07-11,-4%
2014-07-12,+11%
2014-07-13,+14%
2014-07-14,-4%
2014-07-15,-7%
2014-07-16,-4%
2014-07-17,+0%
2014-07-18,-2%
2014-07-19,+10%
2014-07-20,+17%
2014-07-21,-2%
2014-07-22,-5%
2014-07-23,-2%
2014-07-24,-1%
2014-07-25,-5%
2014-07-26,+10%
2014-07-27,+17%
2014-07-28,-4%
2014-07-29,-4%
2014-07-30,-2%
2014-07-31,-2%
2014-08-01,-1%
2014-08-02,+10%
2014-08-03,+13%
2014-08-04,-5%
2014-08-05,-4%
2014-08-06,-2%
2014-08-07,+1%
2014-08-08,-2%
2014-08-09,+12%
2014-08-10,+13%
2014-08-11,-8%
2014-08-12,-8%
2014-08-13,-1%
2014-08-14,-2%
2014-08-15,-4%
2014-08-16,+11%
2014-08-17,+12%
2014-08-18,-8%
2014-08-19,-8%
2014-08-20,-4%
2014-08-21,-4%
2014-08-22,-6%
2014-08-23,+11%
2014-08-24,+14%
2014-08-25,-10%
2014-08-26,-10%
2014-08-27,-10%
2014-08-28,-8%
2014-08-29,-4%
2014-08-30,+8%
2014-08-31,+13%
2014-09-01,+5%
2014-09-02,-13%
2014-09-03,-13%
2014-09-04,-11%
2014-09-05,-11%
2014-09-06,+6%
2014-09-07,+11%
2014-09-08,-12%
2014-09-09,-14%
2014-09-10,-12%
2014-09-11,-10%
2014-09-12,-5%
2014-09-13,+8%
2014-09-14,+10%
2014-09-15, 
2014-09-16, 



Top searches
games,100
game,55
lottery,50
xbox,35
pokemon,30
fifa,20
ps3,20
minecraft,15
xbox 360,15
skyrim,15
mario,15
free games,15
ps4,10
gta 5,10
wow,10
steam,10
xbox one,10
cool math,10
powerball,10
sonic,10



Rising searches
fifa 15,+750%
madden 15,+600%
legend of korra,+550%
american ninja warrior,+450%
destiny,+400%
fifa,+350%
sims 4,+250%
silent hill,+110%
fifa 14,+70%
rooster teeth,+60%



