Web Search interest
United States; Past 30 days

Interest over time
Day,Reference
2014-08-17,+0%
2014-08-18,+16%
2014-08-19,+15%
2014-08-20,+16%
2014-08-21,+19%
2014-08-22,+14%
2014-08-23,+5%
2014-08-24,+5%
2014-08-25,+19%
2014-08-26,+26%
2014-08-27,+27%
2014-08-28,+27%
2014-08-29,+25%
2014-08-30,+4%
2014-08-31,+3%
2014-09-01,+7%
2014-09-02,+25%
2014-09-03,+30%
2014-09-04,+33%
2014-09-05,+25%
2014-09-06,+4%
2014-09-07,+10%
2014-09-08,+33%
2014-09-09,+32%
2014-09-10,+36%
2014-09-11,+37%
2014-09-12,+26%
2014-09-13,+4%
2014-09-14,+8%
2014-09-15, 
2014-09-16, 



Top searches
craigslist,100
google,40
maps,30
quotes,25
definition,20
translate,20
map,20
google maps,15
google translate,10
library,10
dictionary,10
calendar,10
us,5
translator,5
history,5
zip code,5
calculator,5
thesaurus,5
bing,5
translation,5



Rising searches
the fappening,Breakout
spelling city,+750%
mymathlab,+500%
daylight savings time,+350%
pearson,+300%
september 2014 calendar,+250%
graphing calculator,+200%
dictionary,+50%
spanish translator,+50%
synonyms,+50%



