Web Search interest
United States; Past 7 days

Interest over time
Day,Pets & Animals
2014-09-10,+0%
2014-09-11,+1%
2014-09-12,+4%
2014-09-13,+23%
2014-09-14,+17%
2014-09-15, 
2014-09-16, 



Top searches
dog,100
dogs,50
cat,45
puppies,35
cats,20
fish,20
petsmart,15
puppy,15
anaconda,15
horse,15
birds,10
petco,10
puppies for sale,10
snake,10
bulldog,10
pitbull,10
horses,10
dolphin,10
shark,10
hamster,5



Rising searches
ellen anaconda,Breakout
dolphin tale 2,+300%
dolphin tale,+250%
anaconda video,+150%
dolphin,+80%
lions,+80%
teacup yorkie,+80%
chiwawa,+60%
bald eagle,+50%
lions schedule,+50%



