Web Search interest
United States; Past 7 days

Interest over time
Day,Books & Literature
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,-8%
2014-09-13,-19%
2014-09-14,-13%
2014-09-15, 
2014-09-16, 



Top searches
quotes,100
books,35
fanfiction,15
sparknotes,10
tolstoy,10
leo tolstoy,10
love quotes,10
mla,10
poems,10
game of thrones,5
life quotes,5
harry potter,5
mla format,5
frases,5
amazon books,5
fanfic,5
inspirational quotes,5
barnes and noble,5
funny quotes,5
fiction,5



Rising searches
kerri kasem,Breakout
leo tolstoy,Breakout
tolstoy,+4,350%
9/11 quotes,+2,750%
war and peace,+500%
anna karenina,+350%
atlas shrugged,+110%
matilda,+60%
work cited,+50%
bibliography,+40%



