Web Search interest
United States; Past 30 days

Interest over time
Day,Home & Garden
2014-08-17,+0%
2014-08-18,-8%
2014-08-19,-12%
2014-08-20,-13%
2014-08-21,-12%
2014-08-22,-11%
2014-08-23,-2%
2014-08-24,+0%
2014-08-25,-11%
2014-08-26,-14%
2014-08-27,-14%
2014-08-28,-16%
2014-08-29,-14%
2014-08-30,-4%
2014-08-31,+1%
2014-09-01,+3%
2014-09-02,-13%
2014-09-03,-19%
2014-09-04,-22%
2014-09-05,-22%
2014-09-06,-7%
2014-09-07,-6%
2014-09-08,-15%
2014-09-09,-19%
2014-09-10,-21%
2014-09-11,-21%
2014-09-12,-20%
2014-09-13,-8%
2014-09-14,-9%
2014-09-15, 
2014-09-16, 



Top searches
home depot,100
furniture,90
lowes,70
ikea,40
paint,40
mattress,30
bed bath beyond,25
shower,20
amazon,20
walmart,20
pottery barn,20
amc,20
refrigerator,15
target,15
sears,15
box,15
menards,15
toilet,10
clock,10
harbor freight,10



Rising searches
sakai,+250%
timer online,+100%
fireplace inserts,+90%
sleep number bed,+80%
crock pot recipes,+60%
crock pot chicken,+50%
slow cooker recipes,+50%
timer,+50%
yankee candle,+50%
amazon customer service,+40%



