Web Search interest
United States; Past 90 days

Interest over time
Day,Arts & Entertainment
2014-06-17,+0%
2014-06-18,+0%
2014-06-19,+5%
2014-06-20,+6%
2014-06-21,+18%
2014-06-22,+15%
2014-06-23,-1%
2014-06-24,+1%
2014-06-25,+3%
2014-06-26,+4%
2014-06-27,+9%
2014-06-28,+18%
2014-06-29,+15%
2014-06-30,+5%
2014-07-01,+4%
2014-07-02,+4%
2014-07-03,+8%
2014-07-04,+24%
2014-07-05,+22%
2014-07-06,+16%
2014-07-07,+3%
2014-07-08,+3%
2014-07-09,+0%
2014-07-10,+4%
2014-07-11,+4%
2014-07-12,+19%
2014-07-13,+15%
2014-07-14,+1%
2014-07-15,+4%
2014-07-16,+3%
2014-07-17,+6%
2014-07-18,+9%
2014-07-19,+20%
2014-07-20,+20%
2014-07-21,+3%
2014-07-22,+4%
2014-07-23,+3%
2014-07-24,+9%
2014-07-25,+10%
2014-07-26,+22%
2014-07-27,+23%
2014-07-28,+5%
2014-07-29,+6%
2014-07-30,+6%
2014-07-31,+4%
2014-08-01,+13%
2014-08-02,+22%
2014-08-03,+24%
2014-08-04,+4%
2014-08-05,+4%
2014-08-06,+8%
2014-08-07,+6%
2014-08-08,+9%
2014-08-09,+25%
2014-08-10,+20%
2014-08-11,+15%
2014-08-12,+27%
2014-08-13,+10%
2014-08-14,+5%
2014-08-15,+9%
2014-08-16,+16%
2014-08-17,+18%
2014-08-18,+1%
2014-08-19,+1%
2014-08-20,+1%
2014-08-21,+3%
2014-08-22,+5%
2014-08-23,+18%
2014-08-24,+19%
2014-08-25,+9%
2014-08-26,+1%
2014-08-27,-4%
2014-08-28,-1%
2014-08-29,+4%
2014-08-30,+14%
2014-08-31,+15%
2014-09-01,+19%
2014-09-02,+1%
2014-09-03,-4%
2014-09-04,-1%
2014-09-05,-1%
2014-09-06,+14%
2014-09-07,+13%
2014-09-08,-5%
2014-09-09,-6%
2014-09-10,-4%
2014-09-11,-3%
2014-09-12,+1%
2014-09-13,+15%
2014-09-14,+13%
2014-09-15, 
2014-09-16, 



Top searches
youtube,100
movies,30
you,30
mp3,20
netflix,20
google,15
robin williams,10
facebook,10
imdb,5
disney,5
you tube,5
nicki minaj,5
worldstarhiphop,5
beyonce,5
amazon,5
instagram,5
twitter,5
yahoo,5
jokes,5
big brother,5



Rising searches
robin williams,Breakout
big brother,+950%
world cup,+250%
true blood,+200%
nicki minaj,+160%
ninja turtles,+160%
sons of anarchy,+140%
4chan,+120%
ariana grande,+120%
kate upton,+100%



