Web Search interest
United States; Past 90 days

Interest over time
Day,Online Communities
2014-06-17,+0%
2014-06-18,+0%
2014-06-19,+3%
2014-06-20,+5%
2014-06-21,+8%
2014-06-22,+8%
2014-06-23,+1%
2014-06-24,+2%
2014-06-25,+2%
2014-06-26,+1%
2014-06-27,+3%
2014-06-28,+10%
2014-06-29,+9%
2014-06-30,-1%
2014-07-01,+2%
2014-07-02,+1%
2014-07-03,+6%
2014-07-04,+10%
2014-07-05,+15%
2014-07-06,+14%
2014-07-07,+1%
2014-07-08,+0%
2014-07-09,+3%
2014-07-10,+5%
2014-07-11,+3%
2014-07-12,+8%
2014-07-13,+5%
2014-07-14,-1%
2014-07-15,+2%
2014-07-16,+2%
2014-07-17,+3%
2014-07-18,+8%
2014-07-19,+9%
2014-07-20,+13%
2014-07-21,+3%
2014-07-22,+0%
2014-07-23,+0%
2014-07-24,+3%
2014-07-25,+5%
2014-07-26,+9%
2014-07-27,+13%
2014-07-28,+1%
2014-07-29,+3%
2014-07-30,+3%
2014-07-31,+2%
2014-08-01,+13%
2014-08-02,+8%
2014-08-03,+13%
2014-08-04,+0%
2014-08-05,+0%
2014-08-06,+3%
2014-08-07,+7%
2014-08-08,+5%
2014-08-09,+10%
2014-08-10,+9%
2014-08-11,+0%
2014-08-12,-1%
2014-08-13,+2%
2014-08-14,+5%
2014-08-15,+3%
2014-08-16,+9%
2014-08-17,+9%
2014-08-18,+6%
2014-08-19,+3%
2014-08-20,+5%
2014-08-21,+3%
2014-08-22,+5%
2014-08-23,+13%
2014-08-24,+8%
2014-08-25,+0%
2014-08-26,+1%
2014-08-27,+2%
2014-08-28,+5%
2014-08-29,+2%
2014-08-30,+10%
2014-08-31,+10%
2014-09-01,+8%
2014-09-02,+1%
2014-09-03,+2%
2014-09-04,+0%
2014-09-05,+0%
2014-09-06,+5%
2014-09-07,+7%
2014-09-08,-1%
2014-09-09,-2%
2014-09-10,-2%
2014-09-11,+0%
2014-09-12,+1%
2014-09-13,+9%
2014-09-14,+7%
2014-09-15, 
2014-09-16, 



Top searches
facebook,100
twitter,5
tumblr,5
facebook login,5
linkedin,5
wallpaper,0
gif,0
torrent,0
pof,0
face,0
chat,0
images,0
gifs,0
facebook mobile,0
okcupid,0
instagram,0
clip art,0
shutterfly,0
megashare,0
pirate bay,0



Rising searches
www facebook com,+2,750%
facebook com,+700%
www facebook,+700%
facebook messenger,+500%
فيس بوك,+160%
الفيس,+120%
facebook mobile,+100%
download lagu,+60%
pirates bay,+60%
facebook app,+50%



