Image Search interest
United States; 2009

Interest over time
Week,Arts & Entertainment
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-3%
2009-01-18 - 2009-01-24,-3%
2009-01-25 - 2009-01-31,-5%
2009-02-01 - 2009-02-07,-7%
2009-02-08 - 2009-02-14,-4%
2009-02-15 - 2009-02-21,-5%
2009-02-22 - 2009-02-28,-2%
2009-03-01 - 2009-03-07,-5%
2009-03-08 - 2009-03-14,-7%
2009-03-15 - 2009-03-21,-5%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-7%
2009-04-05 - 2009-04-11,-5%
2009-04-12 - 2009-04-18,-8%
2009-04-19 - 2009-04-25,-9%
2009-04-26 - 2009-05-02,-9%
2009-05-03 - 2009-05-09,-8%
2009-05-10 - 2009-05-16,-8%
2009-05-17 - 2009-05-23,-9%
2009-05-24 - 2009-05-30,-7%
2009-05-31 - 2009-06-06,-3%
2009-06-07 - 2009-06-13,-2%
2009-06-14 - 2009-06-20,-2%
2009-06-21 - 2009-06-27,+8%
2009-06-28 - 2009-07-04,+9%
2009-07-05 - 2009-07-11,+4%
2009-07-12 - 2009-07-18,+0%
2009-07-19 - 2009-07-25,+1%
2009-07-26 - 2009-08-01,+0%
2009-08-02 - 2009-08-08,+2%
2009-08-09 - 2009-08-15,+0%
2009-08-16 - 2009-08-22,-2%
2009-08-23 - 2009-08-29,-4%
2009-08-30 - 2009-09-05,-7%
2009-09-06 - 2009-09-12,-9%
2009-09-13 - 2009-09-19,-3%
2009-09-20 - 2009-09-26,-5%
2009-09-27 - 2009-10-03,-8%
2009-10-04 - 2009-10-10,-8%
2009-10-11 - 2009-10-17,-7%
2009-10-18 - 2009-10-24,-8%
2009-10-25 - 2009-10-31,-4%
2009-11-01 - 2009-11-07,-8%
2009-11-08 - 2009-11-14,-5%
2009-11-15 - 2009-11-21,-10%
2009-11-22 - 2009-11-28,-1%
2009-11-29 - 2009-12-05,-13%
2009-12-06 - 2009-12-12,-8%
2009-12-13 - 2009-12-19,-11%
2009-12-20 - 2009-12-26,+4%
2009-12-27 - 2010-01-02,+1%



Top searches
pictures,100
cartoon,60
funny,60
art,50
logo,45
miley cyrus,45
twilight,40
anime,35
megan fox,35
michael jackson,30
lady gaga,30
music,30
naruto,30
selena,25
rihanna,25
new moon,25
selena gomez,25
taylor lautner,25
lil wayne,25
guitar,20



Rising searches
lady gaga,+2,150%
new moon,+1,750%
taylor lautner,+600%
michael jackson,+500%
kristen stewart,+200%
megan fox,+130%
rihanna,+120%
selena gomez,+120%
robert pattinson,+110%
demi lovato,+100%



