Web Search interest
United States; Past 7 days

Interest over time
Day,Internet & Telecom
2014-09-10,+0%
2014-09-11,-11%
2014-09-12,-4%
2014-09-13,-14%
2014-09-14,-20%
2014-09-15, 
2014-09-16, 



Top searches
iphone,100
iphone 6,80
google,50
mail,35
yahoo,25
verizon,25
yahoo mail,25
at&t,15
apple,15
verizon wireless,15
apple iphone,10
att,10
aol,10
sprint,10
email,10
android,10
tumblr,10
apple iphone 6,10
twitter,10
app,10



Rising searches
iphone 6 plus,Breakout
apple iphone 6,+550%
apple iphone,+400%
apple,+350%
iphone 6,+300%
iphone,+180%
iphone 6 release,+80%
tmobile,+70%
at&t,+50%
att,+50%



