Web Search interest
United States; 2008

Interest over time
Week,Computers & Electronics
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,-4%
2008-01-27 - 2008-02-02,-5%
2008-02-03 - 2008-02-09,-7%
2008-02-10 - 2008-02-16,-6%
2008-02-17 - 2008-02-23,-4%
2008-02-24 - 2008-03-01,-6%
2008-03-02 - 2008-03-08,-7%
2008-03-09 - 2008-03-15,-7%
2008-03-16 - 2008-03-22,-7%
2008-03-23 - 2008-03-29,-9%
2008-03-30 - 2008-04-05,-8%
2008-04-06 - 2008-04-12,-11%
2008-04-13 - 2008-04-19,-11%
2008-04-20 - 2008-04-26,-10%
2008-04-27 - 2008-05-03,-14%
2008-05-04 - 2008-05-10,-11%
2008-05-11 - 2008-05-17,-8%
2008-05-18 - 2008-05-24,-10%
2008-05-25 - 2008-05-31,-9%
2008-06-01 - 2008-06-07,-8%
2008-06-08 - 2008-06-14,-8%
2008-06-15 - 2008-06-21,-6%
2008-06-22 - 2008-06-28,-6%
2008-06-29 - 2008-07-05,-10%
2008-07-06 - 2008-07-12,-5%
2008-07-13 - 2008-07-19,-9%
2008-07-20 - 2008-07-26,-7%
2008-07-27 - 2008-08-02,-8%
2008-08-03 - 2008-08-09,-6%
2008-08-10 - 2008-08-16,-10%
2008-08-17 - 2008-08-23,-9%
2008-08-24 - 2008-08-30,-8%
2008-08-31 - 2008-09-06,-3%
2008-09-07 - 2008-09-13,-8%
2008-09-14 - 2008-09-20,-9%
2008-09-21 - 2008-09-27,-12%
2008-09-28 - 2008-10-04,-13%
2008-10-05 - 2008-10-11,-13%
2008-10-12 - 2008-10-18,-12%
2008-10-19 - 2008-10-25,-13%
2008-10-26 - 2008-11-01,-13%
2008-11-02 - 2008-11-08,-14%
2008-11-09 - 2008-11-15,-9%
2008-11-16 - 2008-11-22,-7%
2008-11-23 - 2008-11-29,-2%
2008-11-30 - 2008-12-06,-3%
2008-12-07 - 2008-12-13,-1%
2008-12-14 - 2008-12-20,-6%
2008-12-21 - 2008-12-27,+2%
2008-12-28 - 2009-01-03,-1%



Top searches
free,100
mac,55
hp,50
microsoft,45
dell,40
ipod,40
vista,40
sony,35
apple,35
firefox,35
adobe,30
xbox,30
canon,30
google,30
java,25
linux,25
itunes,25
iphone,20
photoshop,20
excel,20



Rising searches
chrome,+800%
ipod touch,+200%
iphone,+170%
adobe flash,+80%
macbook,+80%
ps3,+60%
antivirus,+50%
apple store,+50%
lenovo,+50%
avg free,+40%



