Web Search interest
United States; Past 7 days

Interest over time
Day,Real Estate
2014-09-10,+0%
2014-09-11,-2%
2014-09-12,-5%
2014-09-13,-6%
2014-09-14,-7%
2014-09-15, 
2014-09-16, 



Top searches
apartments,100
rent,95
homes,90
for rent,75
zillow,50
homes for sale,50
real,45
real estate,45
houses,45
house,45
florida,30
home,25
apartments for rent,20
houses for rent,20
apartment,20
homes for rent,20
realtor,15
houses for sale,15
trulia,10
orlando,10



Rising searches
freedom tower,+450%
booloo,+50%
naples florida,+50%
reality tea,+50%
www.twitter.com home,+50%
fsbo,+40%
pensacola beach,+40%
rent the runway,+40%



