Web Search interest
United States; 2006

Interest over time
Week,Hobbies & Leisure
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-5%
2006-01-15 - 2006-01-21,-5%
2006-01-22 - 2006-01-28,-7%
2006-01-29 - 2006-02-04,-1%
2006-02-05 - 2006-02-11,-8%
2006-02-12 - 2006-02-18,-2%
2006-02-19 - 2006-02-25,-2%
2006-02-26 - 2006-03-04,-1%
2006-03-05 - 2006-03-11,-6%
2006-03-12 - 2006-03-18,-5%
2006-03-19 - 2006-03-25,-5%
2006-03-26 - 2006-04-01,-3%
2006-04-02 - 2006-04-08,-5%
2006-04-09 - 2006-04-15,-1%
2006-04-16 - 2006-04-22,-1%
2006-04-23 - 2006-04-29,-5%
2006-04-30 - 2006-05-06,-1%
2006-05-07 - 2006-05-13,+0%
2006-05-14 - 2006-05-20,+0%
2006-05-21 - 2006-05-27,+0%
2006-05-28 - 2006-06-03,+1%
2006-06-04 - 2006-06-10,-2%
2006-06-11 - 2006-06-17,+0%
2006-06-18 - 2006-06-24,+2%
2006-06-25 - 2006-07-01,+1%
2006-07-02 - 2006-07-08,+9%
2006-07-09 - 2006-07-15,+1%
2006-07-16 - 2006-07-22,+2%
2006-07-23 - 2006-07-29,+1%
2006-07-30 - 2006-08-05,-1%
2006-08-06 - 2006-08-12,-3%
2006-08-13 - 2006-08-19,-3%
2006-08-20 - 2006-08-26,-7%
2006-08-27 - 2006-09-02,-8%
2006-09-03 - 2006-09-09,+16%
2006-09-10 - 2006-09-16,-5%
2006-09-17 - 2006-09-23,-6%
2006-09-24 - 2006-09-30,-3%
2006-10-01 - 2006-10-07,-5%
2006-10-08 - 2006-10-14,-3%
2006-10-15 - 2006-10-21,-5%
2006-10-22 - 2006-10-28,-1%
2006-10-29 - 2006-11-04,+3%
2006-11-05 - 2006-11-11,-5%
2006-11-12 - 2006-11-18,-3%
2006-11-19 - 2006-11-25,+6%
2006-11-26 - 2006-12-02,+3%
2006-12-03 - 2006-12-09,+6%
2006-12-10 - 2006-12-16,+7%
2006-12-17 - 2006-12-23,+13%
2006-12-24 - 2006-12-30,+13%
2006-12-31 - 2007-01-06,-1%



Top searches
dog,100
wedding,80
lottery,75
christmas,60
dogs,40
fishing,40
canon,35
cat,35
fish,35
horse,30
boats,30
photography,30
sony,25
puppies,25
digital camera,25
paintball,25
lotto,20
halloween,20
nikon,20
cats,20



Rising searches
steve irwin,Breakout
floyd landis,+1,700%
crocodile hunter,+1,650%
thanksgiving 2006,+1,600%
2006 new year,+550%
stingray,+350%
dog whisperer,+250%
nikon d50,+60%
florida lottery,+50%
great wolf lodge,+40%



