Web Search interest
United States; 2012

Interest over time
Week,Computers & Electronics
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+0%
2012-01-15 - 2012-01-21,-1%
2012-01-22 - 2012-01-28,-2%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,-3%
2012-02-12 - 2012-02-18,-2%
2012-02-19 - 2012-02-25,-2%
2012-02-26 - 2012-03-03,-4%
2012-03-04 - 2012-03-10,+0%
2012-03-11 - 2012-03-17,-6%
2012-03-18 - 2012-03-24,-7%
2012-03-25 - 2012-03-31,-7%
2012-04-01 - 2012-04-07,-8%
2012-04-08 - 2012-04-14,-9%
2012-04-15 - 2012-04-21,-8%
2012-04-22 - 2012-04-28,-8%
2012-04-29 - 2012-05-05,-10%
2012-05-06 - 2012-05-12,-6%
2012-05-13 - 2012-05-19,-5%
2012-05-20 - 2012-05-26,-9%
2012-05-27 - 2012-06-02,-10%
2012-06-03 - 2012-06-09,-6%
2012-06-10 - 2012-06-16,-5%
2012-06-17 - 2012-06-23,-4%
2012-06-24 - 2012-06-30,-8%
2012-07-01 - 2012-07-07,-14%
2012-07-08 - 2012-07-14,-8%
2012-07-15 - 2012-07-21,-8%
2012-07-22 - 2012-07-28,-9%
2012-07-29 - 2012-08-04,-8%
2012-08-05 - 2012-08-11,-11%
2012-08-12 - 2012-08-18,-9%
2012-08-19 - 2012-08-25,-4%
2012-08-26 - 2012-09-01,-6%
2012-09-02 - 2012-09-08,-11%
2012-09-09 - 2012-09-15,-7%
2012-09-16 - 2012-09-22,-2%
2012-09-23 - 2012-09-29,-5%
2012-09-30 - 2012-10-06,-7%
2012-10-07 - 2012-10-13,-9%
2012-10-14 - 2012-10-20,-8%
2012-10-21 - 2012-10-27,-7%
2012-10-28 - 2012-11-03,-14%
2012-11-04 - 2012-11-10,-12%
2012-11-11 - 2012-11-17,-9%
2012-11-18 - 2012-11-24,-3%
2012-11-25 - 2012-12-01,+1%
2012-12-02 - 2012-12-08,-4%
2012-12-09 - 2012-12-15,-5%
2012-12-16 - 2012-12-22,-8%
2012-12-23 - 2012-12-29,+0%
2012-12-30 - 2013-01-05,-10%



Top searches
google,100
apple,90
mac,90
windows 7,60
hp,60
ipad,55
xbox,55
microsoft,50
itunes,45
ipod,45
chrome,45
drive,40
apps,40
adobe,40
dell,35
galaxy,35
sony,35
canon,30
touch,30
kindle,30



Rising searches
galaxy s3,Breakout
galaxy note,+3,050%
prometheus,+800%
windows 8,+350%
ipad 3,+200%
galaxy,+130%
icloud,+120%
iphone 5,+120%
kindle fire,+110%
minecraft,+110%



