Web Search interest
United States; Past 90 days

Interest over time
Day,Business & Industrial
2014-06-17,+0%
2014-06-18,-1%
2014-06-19,-1%
2014-06-20,-3%
2014-06-21,-24%
2014-06-22,-27%
2014-06-23,-1%
2014-06-24,-2%
2014-06-25,-2%
2014-06-26,-5%
2014-06-27,-4%
2014-06-28,-22%
2014-06-29,-26%
2014-06-30,-2%
2014-07-01,+1%
2014-07-02,+0%
2014-07-03,-3%
2014-07-04,-24%
2014-07-05,-27%
2014-07-06,-29%
2014-07-07,+2%
2014-07-08,+1%
2014-07-09,-1%
2014-07-10,+1%
2014-07-11,-4%
2014-07-12,-22%
2014-07-13,-28%
2014-07-14,-2%
2014-07-15,+1%
2014-07-16,+2%
2014-07-17,+0%
2014-07-18,-2%
2014-07-19,-21%
2014-07-20,-26%
2014-07-21,+0%
2014-07-22,+3%
2014-07-23,+3%
2014-07-24,-1%
2014-07-25,-3%
2014-07-26,-22%
2014-07-27,-24%
2014-07-28,-2%
2014-07-29,-1%
2014-07-30,+0%
2014-07-31,+1%
2014-08-01,-3%
2014-08-02,-21%
2014-08-03,-26%
2014-08-04,-3%
2014-08-05,+0%
2014-08-06,+2%
2014-08-07,-2%
2014-08-08,-7%
2014-08-09,-23%
2014-08-10,-23%
2014-08-11,-3%
2014-08-12,-4%
2014-08-13,-1%
2014-08-14,+1%
2014-08-15,-4%
2014-08-16,-23%
2014-08-17,-27%
2014-08-18,+2%
2014-08-19,+3%
2014-08-20,+1%
2014-08-21,-2%
2014-08-22,-5%
2014-08-23,-23%
2014-08-24,-26%
2014-08-25,+4%
2014-08-26,+6%
2014-08-27,+3%
2014-08-28,+0%
2014-08-29,-5%
2014-08-30,-22%
2014-08-31,-29%
2014-09-01,-23%
2014-09-02,-3%
2014-09-03,-1%
2014-09-04,-2%
2014-09-05,-6%
2014-09-06,-23%
2014-09-07,-28%
2014-09-08,-2%
2014-09-09,-2%
2014-09-10,+0%
2014-09-11,-3%
2014-09-12,-5%
2014-09-13,-22%
2014-09-14,-28%
2014-09-15, 
2014-09-16, 



Top searches
fb,100
usps,75
ups,60
water,55
fedex,50
paypal,35
usps tracking,30
ups tracking,25
staples,25
post office,20
fedex tracking,20
wood,15
amazon,15
walmart,15
office depot,15
adp,15
home depot,15
access,15
ebay,10
ferguson,10



Rising searches
super moon,+2,900%
emmys 2014,+1,750%
agt,+1,550%
emmy nominations 2014,+1,200%
world cup bracket,+600%
market basket,+450%
ferguson,+300%
surface pro 3,+180%
fb,+140%
blue ivy,+80%



