Web Search interest
United States; Past 30 days

Interest over time
Day,Arts & Entertainment
2014-08-17,+0%
2014-08-18,-15%
2014-08-19,-14%
2014-08-20,-15%
2014-08-21,-12%
2014-08-22,-12%
2014-08-23,-2%
2014-08-24,+1%
2014-08-25,-11%
2014-08-26,-14%
2014-08-27,-19%
2014-08-28,-17%
2014-08-29,-14%
2014-08-30,-4%
2014-08-31,-3%
2014-09-01,-1%
2014-09-02,-16%
2014-09-03,-19%
2014-09-04,-17%
2014-09-05,-16%
2014-09-06,-6%
2014-09-07,-5%
2014-09-08,-21%
2014-09-09,-22%
2014-09-10,-21%
2014-09-11,-17%
2014-09-12,-16%
2014-09-13,-3%
2014-09-14,-7%
2014-09-15, 
2014-09-16, 



Top searches
youtube,100
you,30
movies,25
music,20
netflix,20
google,20
facebook,10
nicki minaj,10
imdb,5
disney,5
beyonce,5
you tube,5
anime,5
robin williams,5
instagram,5
amazon,5
jennifer lawrence,5
worldstarhiphop,5
taylor swift,5
youtube mp3,5



Rising searches
shake it off,Breakout
leaked photos,+1,550%
jennifer lawrence,+1,300%
kate upton,+350%
4chan,+300%
taylor swift,+250%
nicki minaj anaconda,+170%
sons of anarchy,+140%
ariana grande,+100%
doctor who,+100%



