Web Search interest
United States; Past 7 days

Interest over time
Day,Law & Government
2014-09-10,+0%
2014-09-11,+1%
2014-09-12,-5%
2014-09-13,-26%
2014-09-14,-30%
2014-09-15, 
2014-09-16, 



Top searches
mapquest,100
obama,65
office,55
army,50
fire,40
unemployment,35
navy,35
act,30
child support,30
beeg,25
constitution,25
inmate search,25
maps,25
obama speech,20
lawyer,20
air force,20
passport,20
driving directions,20
isis,20
united states,20



Rising searches
charlotte mckinney,Breakout
culpable,Breakout
culpable homicide,Breakout
obama isis speech,+2,800%
obama speech,+1,500%
9/11,+600%
indicted,+450%
president obama,+160%
obama,+100%
isis,+90%



