Web Search interest
United States; Past 30 days

Interest over time
Day,People & Society
2014-08-17,+0%
2014-08-18,-5%
2014-08-19,-5%
2014-08-20,+1%
2014-08-21,-4%
2014-08-22,-6%
2014-08-23,-4%
2014-08-24,-1%
2014-08-25,-7%
2014-08-26,-6%
2014-08-27,-3%
2014-08-28,-7%
2014-08-29,-5%
2014-08-30,-7%
2014-08-31,-1%
2014-09-01,-2%
2014-09-02,-4%
2014-09-03,-3%
2014-09-04,-4%
2014-09-05,-4%
2014-09-06,-5%
2014-09-07,+1%
2014-09-08,+0%
2014-09-09,-4%
2014-09-10,+0%
2014-09-11,-4%
2014-09-12,-6%
2014-09-13,-6%
2014-09-14,-2%
2014-09-15, 
2014-09-16, 



Top searches
girls,100
bible,80
hot,75
pregnancy,55
love,45
horoscope,40
cool math,40
cool games,35
cool math games,35
tmz,30
social security,25
babies r us,25
jesus,25
pandora,25
james foley,25
credit karma,20
friends,15
india,15
baby names,15
jennifer lawrence,15



Rising searches
james foley,Breakout
james foley video,Breakout
jennifer lawrence,+1,400%
als,+700%
jill duggar,+300%
isis,+180%
starfall,+150%
abcya,+140%
cool math,+130%
cool games,+120%



