Web Search interest
United States; Past 7 days

Interest over time
Day,Shopping
2014-09-10,+0%
2014-09-11,+1%
2014-09-12,+4%
2014-09-13,+20%
2014-09-14,+19%
2014-09-15, 
2014-09-16, 



Top searches
amazon,100
ebay,75
walmart,75
coupons,45
netflix,45
target,40
google,30
pandora,30
xbox,30
best buy,25
nike,25
costco,20
craigslist,20
apple,20
nordstrom,15
jcpenney,15
kohls,15
iphone 6,15
gamestop,15
halloween costumes,15



Rising searches
adrian peterson,+4,450%
apple watch,+2,350%
giancarlo stanton,+2,350%
iphone 6,+500%
destiny,+250%
otterbox,+120%
apple,+100%
samsung galaxy s5,+90%
verizon wireless,+80%
cnet,+50%



