Web Search interest
United States; 2004

Interest over time
Week,Books & Literature
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+7%
2004-01-18 - 2004-01-24,+2%
2004-01-25 - 2004-01-31,+3%
2004-02-01 - 2004-02-07,+6%
2004-02-08 - 2004-02-14,+15%
2004-02-15 - 2004-02-21,+2%
2004-02-22 - 2004-02-28,+11%
2004-02-29 - 2004-03-06,+13%
2004-03-07 - 2004-03-13,-2%
2004-03-14 - 2004-03-20,+2%
2004-03-21 - 2004-03-27,+1%
2004-03-28 - 2004-04-03,+8%
2004-04-04 - 2004-04-10,-1%
2004-04-11 - 2004-04-17,+2%
2004-04-18 - 2004-04-24,+11%
2004-04-25 - 2004-05-01,+15%
2004-05-02 - 2004-05-08,+14%
2004-05-09 - 2004-05-15,+8%
2004-05-16 - 2004-05-22,+5%
2004-05-23 - 2004-05-29,-5%
2004-05-30 - 2004-06-05,-9%
2004-06-06 - 2004-06-12,-11%
2004-06-13 - 2004-06-19,-6%
2004-06-20 - 2004-06-26,-25%
2004-06-27 - 2004-07-03,-26%
2004-07-04 - 2004-07-10,-28%
2004-07-11 - 2004-07-17,-26%
2004-07-18 - 2004-07-24,-29%
2004-07-25 - 2004-07-31,-30%
2004-08-01 - 2004-08-07,-29%
2004-08-08 - 2004-08-14,-31%
2004-08-15 - 2004-08-21,-28%
2004-08-22 - 2004-08-28,-22%
2004-08-29 - 2004-09-04,-16%
2004-09-05 - 2004-09-11,-10%
2004-09-12 - 2004-09-18,-6%
2004-09-19 - 2004-09-25,-5%
2004-09-26 - 2004-10-02,-3%
2004-10-03 - 2004-10-09,-2%
2004-10-10 - 2004-10-16,-2%
2004-10-17 - 2004-10-23,+0%
2004-10-24 - 2004-10-30,+5%
2004-10-31 - 2004-11-06,+1%
2004-11-07 - 2004-11-13,+2%
2004-11-14 - 2004-11-20,+14%
2004-11-21 - 2004-11-27,-2%
2004-11-28 - 2004-12-04,+14%
2004-12-05 - 2004-12-11,+14%
2004-12-12 - 2004-12-18,+10%
2004-12-19 - 2004-12-25,-16%
2004-12-26 - 2005-01-01,-29%



Top searches
quotes,100
books,45
poems,45
poetry,20
harry potter,20
poem,15
mla,15
barnes,15
writing,15
love poems,10
shakespeare,10
essay,10
quote,10
love quotes,10
famous quotes,10
barnes noble,10
apa,10
quotations,10
bibliography,5
maxim,5



Rising searches
james joyce bloomsday,Breakout
apa format,+140%
apa,+100%
citations,+100%
citation,+80%
harry potter 6,+80%
mla format,+80%
apa style,+70%
mla,+60%
mla style,+60%



