Web Search interest
United States; Past 7 days

Interest over time
Day,Arts & Entertainment
2014-09-10,+0%
2014-09-11,+4%
2014-09-12,+6%
2014-09-13,+23%
2014-09-14,+19%
2014-09-15, 
2014-09-16, 



Top searches
youtube,100
you,25
movies,25
music,20
google,20
netflix,15
facebook,10
funny,5
imdb,5
sons of anarchy,5
apple,5
you tube,5
nicki minaj,5
worldstarhiphop,5
big brother,5
amazon,5
instagram,5
iggy,5
jokes,5
beyonce,5



Rising searches
apple watch,Breakout
u2,+1,200%
iwatch,+550%
no good deed,+550%
apple,+350%
destiny,+250%
iphone 6,+250%
sons of anarchy,+130%
captain america,+110%
chris brown,+60%



