Web Search interest
United States; 2011

Interest over time
Week,Games
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-13%
2011-01-16 - 2011-01-22,-9%
2011-01-23 - 2011-01-29,-14%
2011-01-30 - 2011-02-05,-14%
2011-02-06 - 2011-02-12,-15%
2011-02-13 - 2011-02-19,-14%
2011-02-20 - 2011-02-26,-13%
2011-02-27 - 2011-03-05,-15%
2011-03-06 - 2011-03-12,-13%
2011-03-13 - 2011-03-19,-12%
2011-03-20 - 2011-03-26,-8%
2011-03-27 - 2011-04-02,-12%
2011-04-03 - 2011-04-09,-13%
2011-04-10 - 2011-04-16,-15%
2011-04-17 - 2011-04-23,-6%
2011-04-24 - 2011-04-30,-10%
2011-05-01 - 2011-05-07,-13%
2011-05-08 - 2011-05-14,-12%
2011-05-15 - 2011-05-21,-11%
2011-05-22 - 2011-05-28,-10%
2011-05-29 - 2011-06-04,-6%
2011-06-05 - 2011-06-11,-8%
2011-06-12 - 2011-06-18,-10%
2011-06-19 - 2011-06-25,-8%
2011-06-26 - 2011-07-02,-13%
2011-07-03 - 2011-07-09,-12%
2011-07-10 - 2011-07-16,-13%
2011-07-17 - 2011-07-23,-16%
2011-07-24 - 2011-07-30,-14%
2011-07-31 - 2011-08-06,-12%
2011-08-07 - 2011-08-13,-14%
2011-08-14 - 2011-08-20,-16%
2011-08-21 - 2011-08-27,-19%
2011-08-28 - 2011-09-03,-22%
2011-09-04 - 2011-09-10,-16%
2011-09-11 - 2011-09-17,-22%
2011-09-18 - 2011-09-24,-24%
2011-09-25 - 2011-10-01,-19%
2011-10-02 - 2011-10-08,-21%
2011-10-09 - 2011-10-15,-20%
2011-10-16 - 2011-10-22,-21%
2011-10-23 - 2011-10-29,-16%
2011-10-30 - 2011-11-05,-17%
2011-11-06 - 2011-11-12,-11%
2011-11-13 - 2011-11-19,-14%
2011-11-20 - 2011-11-26,-1%
2011-11-27 - 2011-12-03,-14%
2011-12-04 - 2011-12-10,-13%
2011-12-11 - 2011-12-17,-12%
2011-12-18 - 2011-12-24,-2%
2011-12-25 - 2011-12-31,+0%



Top searches
games,100
game,40
lottery,30
xbox,20
pokemon,15
scrabble,15
free games,15
online games,15
ps3,15
wow,10
skyrim,10
wii,10
mario,10
xbox 360,10
free online games,10
powerball,10
poptropica,5
cool games,5
addicting games,5
runescape,5



Rising searches
skyrim,Breakout
minecraft,+1,100%
scrabble word finder,+400%
scrabble,+190%
mortal kombat,+170%
cool math,+100%
cool math games,+100%
cool games,+90%
mega millions,+70%
gamestop,+60%



