Web Search interest
United States; 2006

Interest over time
Week,Finance
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+5%
2006-01-15 - 2006-01-21,+4%
2006-01-22 - 2006-01-28,+7%
2006-01-29 - 2006-02-04,+17%
2006-02-05 - 2006-02-11,+6%
2006-02-12 - 2006-02-18,+6%
2006-02-19 - 2006-02-25,+5%
2006-02-26 - 2006-03-04,+7%
2006-03-05 - 2006-03-11,+4%
2006-03-12 - 2006-03-18,+7%
2006-03-19 - 2006-03-25,+5%
2006-03-26 - 2006-04-01,+9%
2006-04-02 - 2006-04-08,+9%
2006-04-09 - 2006-04-15,+22%
2006-04-16 - 2006-04-22,+10%
2006-04-23 - 2006-04-29,+0%
2006-04-30 - 2006-05-06,+1%
2006-05-07 - 2006-05-13,-1%
2006-05-14 - 2006-05-20,-1%
2006-05-21 - 2006-05-27,-5%
2006-05-28 - 2006-06-03,-2%
2006-06-04 - 2006-06-10,-5%
2006-06-11 - 2006-06-17,+1%
2006-06-18 - 2006-06-24,+1%
2006-06-25 - 2006-07-01,+4%
2006-07-02 - 2006-07-08,-1%
2006-07-09 - 2006-07-15,+4%
2006-07-16 - 2006-07-22,+2%
2006-07-23 - 2006-07-29,+7%
2006-07-30 - 2006-08-05,+6%
2006-08-06 - 2006-08-12,+5%
2006-08-13 - 2006-08-19,+6%
2006-08-20 - 2006-08-26,+0%
2006-08-27 - 2006-09-02,-1%
2006-09-03 - 2006-09-09,-5%
2006-09-10 - 2006-09-16,-1%
2006-09-17 - 2006-09-23,-6%
2006-09-24 - 2006-09-30,-5%
2006-10-01 - 2006-10-07,-1%
2006-10-08 - 2006-10-14,-1%
2006-10-15 - 2006-10-21,-5%
2006-10-22 - 2006-10-28,-5%
2006-10-29 - 2006-11-04,-2%
2006-11-05 - 2006-11-11,-9%
2006-11-12 - 2006-11-18,-4%
2006-11-19 - 2006-11-25,-18%
2006-11-26 - 2006-12-02,-5%
2006-12-03 - 2006-12-09,-6%
2006-12-10 - 2006-12-16,-5%
2006-12-17 - 2006-12-23,-6%
2006-12-24 - 2006-12-30,-6%
2006-12-31 - 2007-01-06,+5%



Top searches
bank,100
insurance,50
mortgage,30
credit union,25
bank america,25
bank of america,25
chase,15
loans,15
irs,15
credit card,10
currency,10
wells fargo,10
american express,10
money,10
wachovia,10
credit report,10
fafsa,10
mortgage calculator,5
capital one,5
blue cross,5



Rising searches
wamu,+80%
chase,+70%
gold price,+70%
bofa,+60%
chase bank,+60%
orchard bank,+60%
bankofamerica,+50%
wellsfargo,+50%
hsbc,+40%
usbank,+40%



