Web Search interest
United States; Past 30 days

Interest over time
Day,Internet & Telecom
2014-08-17,+0%
2014-08-18,+10%
2014-08-19,+5%
2014-08-20,+6%
2014-08-21,+5%
2014-08-22,+8%
2014-08-23,+0%
2014-08-24,-2%
2014-08-25,+5%
2014-08-26,+5%
2014-08-27,+6%
2014-08-28,+8%
2014-08-29,+8%
2014-08-30,-2%
2014-08-31,-5%
2014-09-01,-3%
2014-09-02,+5%
2014-09-03,+10%
2014-09-04,+5%
2014-09-05,+6%
2014-09-06,+2%
2014-09-07,-2%
2014-09-08,+8%
2014-09-09,+59%
2014-09-10,+38%
2014-09-11,+21%
2014-09-12,+33%
2014-09-13,+14%
2014-09-14,+8%
2014-09-15, 
2014-09-16, 



Top searches
google,100
iphone,85
mail,70
yahoo,60
yahoo mail,55
iphone 6,50
verizon,35
mobile,25
at&t,25
aol,20
tumblr,20
email,20
twitter,20
msn,15
verizon wireless,15
att,15
sprint,15
comcast,15
samsung,15
gmail,10



Rising searches
iphone 6 plus,Breakout
iphone 6 price,+750%
verizon iphone 6,+700%
apple iphone 6,+650%
i phone 6,+350%
iphone 6,+300%
new iphone 6,+250%
apple,+160%
new iphone,+140%
apple store,+100%



