Web Search interest
United States; 2005

Interest over time
Week,Business & Industrial
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+3%
2005-01-16 - 2005-01-22,+8%
2005-01-23 - 2005-01-29,+6%
2005-01-30 - 2005-02-05,+4%
2005-02-06 - 2005-02-12,+3%
2005-02-13 - 2005-02-19,+4%
2005-02-20 - 2005-02-26,+2%
2005-02-27 - 2005-03-05,+12%
2005-03-06 - 2005-03-12,+6%
2005-03-13 - 2005-03-19,+2%
2005-03-20 - 2005-03-26,+6%
2005-03-27 - 2005-04-02,+2%
2005-04-03 - 2005-04-09,+2%
2005-04-10 - 2005-04-16,+6%
2005-04-17 - 2005-04-23,+3%
2005-04-24 - 2005-04-30,+4%
2005-05-01 - 2005-05-07,+1%
2005-05-08 - 2005-05-14,+6%
2005-05-15 - 2005-05-21,+6%
2005-05-22 - 2005-05-28,+4%
2005-05-29 - 2005-06-04,+1%
2005-06-05 - 2005-06-11,+6%
2005-06-12 - 2005-06-18,+4%
2005-06-19 - 2005-06-25,+7%
2005-06-26 - 2005-07-02,+3%
2005-07-03 - 2005-07-09,+1%
2005-07-10 - 2005-07-16,+4%
2005-07-17 - 2005-07-23,+6%
2005-07-24 - 2005-07-30,+7%
2005-07-31 - 2005-08-06,+8%
2005-08-07 - 2005-08-13,+4%
2005-08-14 - 2005-08-20,+2%
2005-08-21 - 2005-08-27,+3%
2005-08-28 - 2005-09-03,+2%
2005-09-04 - 2005-09-10,-3%
2005-09-11 - 2005-09-17,+4%
2005-09-18 - 2005-09-24,+4%
2005-09-25 - 2005-10-01,+7%
2005-10-02 - 2005-10-08,+3%
2005-10-09 - 2005-10-15,+3%
2005-10-16 - 2005-10-22,+2%
2005-10-23 - 2005-10-29,+3%
2005-10-30 - 2005-11-05,+2%
2005-11-06 - 2005-11-12,-2%
2005-11-13 - 2005-11-19,-1%
2005-11-20 - 2005-11-26,-12%
2005-11-27 - 2005-12-03,-2%
2005-12-04 - 2005-12-10,-3%
2005-12-11 - 2005-12-17,-6%
2005-12-18 - 2005-12-24,-8%
2005-12-25 - 2005-12-31,-18%



Top searches
ups,100
usps,65
gas,65
marketing,55
fedex,50
sql,40
post office,40
fabric,35
staples,35
printing,35
office depot,35
paypal,30
postal service,30
oracle,30
mysql,30
shuttle,25
nasa,25
signs,25
dhl,20
google,20



Rising searches
mad money,Breakout
jim cramer,+800%
aapl,+350%
a380,+200%
housing bubble,+170%
biodiesel,+120%
adsense,+110%
airbus,+100%
xfire,+100%
wegmans,+50%



