Web Search interest
United States; Past 30 days

Interest over time
Day,Health
2014-08-17,+0%
2014-08-18,+26%
2014-08-19,+29%
2014-08-20,+30%
2014-08-21,+27%
2014-08-22,+19%
2014-08-23,+1%
2014-08-24,+0%
2014-08-25,+22%
2014-08-26,+29%
2014-08-27,+23%
2014-08-28,+23%
2014-08-29,+14%
2014-08-30,-5%
2014-08-31,-4%
2014-09-01,-3%
2014-09-02,+23%
2014-09-03,+27%
2014-09-04,+23%
2014-09-05,+19%
2014-09-06,-1%
2014-09-07,-3%
2014-09-08,+25%
2014-09-09,+29%
2014-09-10,+25%
2014-09-11,+22%
2014-09-12,+14%
2014-09-13,-1%
2014-09-14,-4%
2014-09-15, 
2014-09-16, 



Top searches
cancer,100
walgreens,65
ebola,45
als,45
dentist,40
cvs,40
diabetes,30
blood pressure,30
marijuana,30
anxiety,25
als disease,25
depression,25
walmart,25
joan rivers,25
urgent care,20
birth control,20
herpes,20
thyroid,20
diarrhea,20
webmd,20



Rising searches
steven sotloff,Breakout
joan rivers,+4,650%
enterovirus,+3,800%
5676977,+850%
als symptoms,+500%
als,+400%
als disease,+400%
endoscopy,+180%
amphetamine,+110%
texas a&m,+100%



