Web Search interest
United States; 2006

Interest over time
Week,Science
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+23%
2006-01-15 - 2006-01-21,+19%
2006-01-22 - 2006-01-28,+24%
2006-01-29 - 2006-02-04,+31%
2006-02-05 - 2006-02-11,+31%
2006-02-12 - 2006-02-18,+24%
2006-02-19 - 2006-02-25,+23%
2006-02-26 - 2006-03-04,+26%
2006-03-05 - 2006-03-11,+24%
2006-03-12 - 2006-03-18,+22%
2006-03-19 - 2006-03-25,+22%
2006-03-26 - 2006-04-01,+24%
2006-04-02 - 2006-04-08,+27%
2006-04-09 - 2006-04-15,+18%
2006-04-16 - 2006-04-22,+27%
2006-04-23 - 2006-04-29,+35%
2006-04-30 - 2006-05-06,+27%
2006-05-07 - 2006-05-13,+26%
2006-05-14 - 2006-05-20,+16%
2006-05-21 - 2006-05-27,+11%
2006-05-28 - 2006-06-03,+8%
2006-06-04 - 2006-06-10,+1%
2006-06-11 - 2006-06-17,-5%
2006-06-18 - 2006-06-24,-8%
2006-06-25 - 2006-07-01,-14%
2006-07-02 - 2006-07-08,-16%
2006-07-09 - 2006-07-15,-14%
2006-07-16 - 2006-07-22,-11%
2006-07-23 - 2006-07-29,-15%
2006-07-30 - 2006-08-05,-15%
2006-08-06 - 2006-08-12,-14%
2006-08-13 - 2006-08-19,-11%
2006-08-20 - 2006-08-26,+0%
2006-08-27 - 2006-09-02,+4%
2006-09-03 - 2006-09-09,+15%
2006-09-10 - 2006-09-16,+23%
2006-09-17 - 2006-09-23,+26%
2006-09-24 - 2006-09-30,+30%
2006-10-01 - 2006-10-07,+28%
2006-10-08 - 2006-10-14,+23%
2006-10-15 - 2006-10-21,+24%
2006-10-22 - 2006-10-28,+22%
2006-10-29 - 2006-11-04,+22%
2006-11-05 - 2006-11-11,+18%
2006-11-12 - 2006-11-18,+23%
2006-11-19 - 2006-11-25,-7%
2006-11-26 - 2006-12-02,+18%
2006-12-03 - 2006-12-09,+22%
2006-12-10 - 2006-12-16,+14%
2006-12-17 - 2006-12-23,-9%
2006-12-24 - 2006-12-30,-39%
2006-12-31 - 2007-01-06,-15%



Top searches
science,100
math,85
earth,40
periodic table,30
chemistry,30
biology,30
physics,30
animals,25
dna,25
science fair,20
global warming,20
help,20
algebra,20
brain,20
science projects,20
spider,20
ocean,15
triangle,15
planets,15
autocad,15



Rising searches
an inconvenient truth,Breakout
inconvenient truth,Breakout
study island,+110%
bed bugs,+80%
ajax,+70%
bedbugs,+70%
global warming,+70%
pluto,+70%
edhelper,+50%
meteor shower,+50%



