Web Search interest
United States; Past 90 days

Interest over time
Day,Travel
2014-06-17,+0%
2014-06-18,+4%
2014-06-19,+2%
2014-06-20,+7%
2014-06-21,+2%
2014-06-22,+6%
2014-06-23,+4%
2014-06-24,+6%
2014-06-25,+6%
2014-06-26,+1%
2014-06-27,+6%
2014-06-28,+7%
2014-06-29,+6%
2014-06-30,+2%
2014-07-01,+5%
2014-07-02,+8%
2014-07-03,+11%
2014-07-04,+13%
2014-07-05,+13%
2014-07-06,+8%
2014-07-07,+7%
2014-07-08,+6%
2014-07-09,+5%
2014-07-10,+4%
2014-07-11,+6%
2014-07-12,+8%
2014-07-13,+5%
2014-07-14,+8%
2014-07-15,+4%
2014-07-16,+6%
2014-07-17,+18%
2014-07-18,+14%
2014-07-19,+12%
2014-07-20,+11%
2014-07-21,+6%
2014-07-22,+9%
2014-07-23,+8%
2014-07-24,+5%
2014-07-25,+8%
2014-07-26,+8%
2014-07-27,+9%
2014-07-28,+6%
2014-07-29,+4%
2014-07-30,+2%
2014-07-31,+0%
2014-08-01,+4%
2014-08-02,+6%
2014-08-03,+1%
2014-08-04,+4%
2014-08-05,+2%
2014-08-06,+4%
2014-08-07,+2%
2014-08-08,+5%
2014-08-09,+4%
2014-08-10,+4%
2014-08-11,-5%
2014-08-12,-7%
2014-08-13,-5%
2014-08-14,-5%
2014-08-15,-4%
2014-08-16,-5%
2014-08-17,-2%
2014-08-18,-2%
2014-08-19,-7%
2014-08-20,-9%
2014-08-21,-11%
2014-08-22,-7%
2014-08-23,-6%
2014-08-24,-7%
2014-08-25,-8%
2014-08-26,-9%
2014-08-27,-9%
2014-08-28,-5%
2014-08-29,-6%
2014-08-30,-1%
2014-08-31,-5%
2014-09-01,-12%
2014-09-02,-15%
2014-09-03,-16%
2014-09-04,-14%
2014-09-05,-16%
2014-09-06,-14%
2014-09-07,-18%
2014-09-08,-16%
2014-09-09,-19%
2014-09-10,-20%
2014-09-11,-19%
2014-09-12,-16%
2014-09-13,-18%
2014-09-14,-18%
2014-09-15, 
2014-09-16, 



Top searches
beach,100
hotels,95
flights,65
southwest,60
las vegas,60
united,40
southwest airlines,40
car rental,40
delta,40
disney,35
expedia,30
united airlines,30
american airlines,25
marriott,25
hilton,25
enterprise,25
amtrak,20
cheap flights,20
six flags,20
tripadvisor,20



Rising searches
mh17,Breakout
snapple save,Breakout
jansport,+300%
dorney park,+110%
schlitterbahn,+80%
hershey park,+70%
ocean city maryland,+70%
rehoboth beach,+70%
six flags tickets,+60%
brazil,+50%



