Web Search interest
United States; Past 7 days

Interest over time
Day,Business & Industrial
2014-09-10,+0%
2014-09-11,-2%
2014-09-12,-6%
2014-09-13,-22%
2014-09-14,-28%
2014-09-15, 
2014-09-16, 



Top searches
fb,100
usps,75
ups,65
fedex,50
new,50
paypal,45
usps tracking,35
apple,30
ups tracking,30
yahoo,30
staples,25
post office,20
fedex tracking,20
adp,20
walmart,15
office depot,15
home depot,15
iphone 5s,15
aapl,15
yahoo finance,15



Rising searches
david haines,+1,400%
duluth trading,+190%
iphone 5s,+130%
agt voting,+120%
apple,+110%
apple stock,+110%
apple stock price,+90%
agt,+80%
aapl,+70%
warren buffett,+60%



