Web Search interest
United States; Past 30 days

Interest over time
Day,Games
2014-08-17,+0%
2014-08-18,-18%
2014-08-19,-17%
2014-08-20,-16%
2014-08-21,-17%
2014-08-22,-17%
2014-08-23,-2%
2014-08-24,+0%
2014-08-25,-20%
2014-08-26,-20%
2014-08-27,-20%
2014-08-28,-20%
2014-08-29,-15%
2014-08-30,-5%
2014-08-31,+2%
2014-09-01,-6%
2014-09-02,-24%
2014-09-03,-24%
2014-09-04,-23%
2014-09-05,-22%
2014-09-06,-5%
2014-09-07,-2%
2014-09-08,-23%
2014-09-09,-22%
2014-09-10,-22%
2014-09-11,-21%
2014-09-12,-19%
2014-09-13,-7%
2014-09-14,-4%
2014-09-15, 
2014-09-16, 



Top searches
games,100
lottery,55
game,45
xbox,40
pokemon,25
gta,20
minecraft,15
cool games,15
cool math,15
sims,15
cool math games,15
ps4,15
xbox one,10
skyrim,10
mario,10
free games,10
diablo 3,10
wow,10
powerball,10
destiny,10



Rising searches
typing web,+550%
sims 4,+200%
diablo 3,+190%
starfall,+160%
abcya,+140%
cool math,+140%
cool games,+130%
cool math games,+130%
madden 15,+130%
fifa 15,+110%



