Web Search interest
United States; Past 90 days

Interest over time
Day,Sports
2014-06-17,+0%
2014-06-18,-9%
2014-06-19,-10%
2014-06-20,-13%
2014-06-21,-1%
2014-06-22,+14%
2014-06-23,-3%
2014-06-24,-10%
2014-06-25,-11%
2014-06-26,+16%
2014-06-27,-10%
2014-06-28,+0%
2014-06-29,+4%
2014-06-30,-13%
2014-07-01,+7%
2014-07-02,-21%
2014-07-03,-29%
2014-07-04,-6%
2014-07-05,+4%
2014-07-06,-4%
2014-07-07,-26%
2014-07-08,-6%
2014-07-09,-6%
2014-07-10,-21%
2014-07-11,-11%
2014-07-12,-1%
2014-07-13,+26%
2014-07-14,-21%
2014-07-15,-31%
2014-07-16,-30%
2014-07-17,-33%
2014-07-18,-33%
2014-07-19,-26%
2014-07-20,-23%
2014-07-21,-36%
2014-07-22,-36%
2014-07-23,-34%
2014-07-24,-34%
2014-07-25,-36%
2014-07-26,-29%
2014-07-27,-23%
2014-07-28,-34%
2014-07-29,-36%
2014-07-30,-33%
2014-07-31,-33%
2014-08-01,-33%
2014-08-02,-26%
2014-08-03,-23%
2014-08-04,-30%
2014-08-05,-34%
2014-08-06,-31%
2014-08-07,-24%
2014-08-08,-24%
2014-08-09,-17%
2014-08-10,-1%
2014-08-11,-26%
2014-08-12,-34%
2014-08-13,-34%
2014-08-14,-31%
2014-08-15,-30%
2014-08-16,-16%
2014-08-17,-11%
2014-08-18,-24%
2014-08-19,-33%
2014-08-20,-33%
2014-08-21,-31%
2014-08-22,-29%
2014-08-23,-11%
2014-08-24,-6%
2014-08-25,-23%
2014-08-26,-29%
2014-08-27,-27%
2014-08-28,-23%
2014-08-29,-14%
2014-08-30,+13%
2014-08-31,+9%
2014-09-01,-11%
2014-09-02,-23%
2014-09-03,-21%
2014-09-04,-19%
2014-09-05,-13%
2014-09-06,+4%
2014-09-07,+41%
2014-09-08,+4%
2014-09-09,-14%
2014-09-10,-29%
2014-09-11,-30%
2014-09-12,-21%
2014-09-13,+6%
2014-09-14,+43%
2014-09-15, 
2014-09-16, 



Top searches
world cup,100
football,80
espn,55
soccer,35
nfl,35
2014 world cup,25
baseball,25
sports,25
fifa,20
mlb,20
nba,20
fantasy football,15
world cup schedule,15
fifa world cup,15
lebron,10
wwe,10
yahoo,10
ray rice,10
time,10
lebron james,10



Rising searches
fantasy football,+3,050%
ray rice,+3,050%
college football,+400%
football,+300%
world cup,+300%
fifa,+250%
fifa world cup,+250%
us open,+200%
world cup schedule,+160%
2014 world cup,+150%



