Web Search interest
United States; Past 90 days

Interest over time
Day,Computers & Electronics
2014-06-17,+0%
2014-06-18,+0%
2014-06-19,+1%
2014-06-20,-2%
2014-06-21,-20%
2014-06-22,-16%
2014-06-23,-2%
2014-06-24,-1%
2014-06-25,+0%
2014-06-26,-1%
2014-06-27,-1%
2014-06-28,-17%
2014-06-29,-16%
2014-06-30,-2%
2014-07-01,-2%
2014-07-02,-4%
2014-07-03,-1%
2014-07-04,-17%
2014-07-05,-20%
2014-07-06,-17%
2014-07-07,+1%
2014-07-08,+1%
2014-07-09,-1%
2014-07-10,+2%
2014-07-11,-1%
2014-07-12,-16%
2014-07-13,-16%
2014-07-14,-1%
2014-07-15,+2%
2014-07-16,+6%
2014-07-17,+4%
2014-07-18,+0%
2014-07-19,-15%
2014-07-20,-15%
2014-07-21,+0%
2014-07-22,+5%
2014-07-23,+4%
2014-07-24,+1%
2014-07-25,+0%
2014-07-26,-15%
2014-07-27,-12%
2014-07-28,+0%
2014-07-29,+4%
2014-07-30,+2%
2014-07-31,+2%
2014-08-01,+0%
2014-08-02,-13%
2014-08-03,-11%
2014-08-04,+0%
2014-08-05,+4%
2014-08-06,+0%
2014-08-07,+4%
2014-08-08,-2%
2014-08-09,-12%
2014-08-10,-13%
2014-08-11,-1%
2014-08-12,-4%
2014-08-13,+5%
2014-08-14,+1%
2014-08-15,+1%
2014-08-16,-16%
2014-08-17,-10%
2014-08-18,+2%
2014-08-19,+4%
2014-08-20,+4%
2014-08-21,+0%
2014-08-22,+0%
2014-08-23,-13%
2014-08-24,-10%
2014-08-25,+2%
2014-08-26,+5%
2014-08-27,+5%
2014-08-28,+5%
2014-08-29,+0%
2014-08-30,-13%
2014-08-31,-13%
2014-09-01,-11%
2014-09-02,+4%
2014-09-03,+5%
2014-09-04,+4%
2014-09-05,+1%
2014-09-06,-12%
2014-09-07,-12%
2014-09-08,+5%
2014-09-09,+22%
2014-09-10,+10%
2014-09-11,+5%
2014-09-12,+7%
2014-09-13,-12%
2014-09-14,-12%
2014-09-15, 
2014-09-16, 



Top searches
windows,100
google,95
apple,70
mac,65
xbox,45
chrome,45
hp,40
microsoft,35
drive,35
itunes,30
paypal,25
amazon,25
ipad,25
adobe,25
dell,25
java,25
emoji,25
macbook,20
power,20
google chrome,20



Rising searches
no flex zone,+2,600%
guess the emoji,+1,700%
emoji answers,+950%
emoji,+300%
lucy,+200%
galaxy note 4,+180%
iphone 6,+180%
2go,+90%
ios 8,+70%
macbook air,+50%



