Web Search interest
United States; 2007

Interest over time
Week,Books & Literature
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-1%
2007-01-21 - 2007-01-27,+2%
2007-01-28 - 2007-02-03,+4%
2007-02-04 - 2007-02-10,+4%
2007-02-11 - 2007-02-17,+3%
2007-02-18 - 2007-02-24,+1%
2007-02-25 - 2007-03-03,+10%
2007-03-04 - 2007-03-10,+2%
2007-03-11 - 2007-03-17,-3%
2007-03-18 - 2007-03-24,+1%
2007-03-25 - 2007-03-31,+1%
2007-04-01 - 2007-04-07,-4%
2007-04-08 - 2007-04-14,-3%
2007-04-15 - 2007-04-21,+3%
2007-04-22 - 2007-04-28,+9%
2007-04-29 - 2007-05-05,+4%
2007-05-06 - 2007-05-12,+2%
2007-05-13 - 2007-05-19,+0%
2007-05-20 - 2007-05-26,-7%
2007-05-27 - 2007-06-02,-10%
2007-06-03 - 2007-06-09,-16%
2007-06-10 - 2007-06-16,-21%
2007-06-17 - 2007-06-23,-25%
2007-06-24 - 2007-06-30,-27%
2007-07-01 - 2007-07-07,-25%
2007-07-08 - 2007-07-14,-15%
2007-07-15 - 2007-07-21,+8%
2007-07-22 - 2007-07-28,-1%
2007-07-29 - 2007-08-04,-23%
2007-08-05 - 2007-08-11,-26%
2007-08-12 - 2007-08-18,-29%
2007-08-19 - 2007-08-25,-22%
2007-08-26 - 2007-09-01,-15%
2007-09-02 - 2007-09-08,-9%
2007-09-09 - 2007-09-15,-7%
2007-09-16 - 2007-09-22,-7%
2007-09-23 - 2007-09-29,-5%
2007-09-30 - 2007-10-06,-8%
2007-10-07 - 2007-10-13,-4%
2007-10-14 - 2007-10-20,-3%
2007-10-21 - 2007-10-27,-2%
2007-10-28 - 2007-11-03,-1%
2007-11-04 - 2007-11-10,-1%
2007-11-11 - 2007-11-17,+1%
2007-11-18 - 2007-11-24,-11%
2007-11-25 - 2007-12-01,+8%
2007-12-02 - 2007-12-08,+9%
2007-12-09 - 2007-12-15,+5%
2007-12-16 - 2007-12-22,-7%
2007-12-23 - 2007-12-29,-30%
2007-12-30 - 2008-01-05,-22%



Top searches
quotes,100
book,45
books,45
harry potter,35
poems,35
mla,20
poem,15
barnes,15
poetry,15
writing,10
citation,10
quote,10
apa,10
barnes noble,10
love quotes,10
sparknotes,10
love poems,10
famous quotes,10
spark notes,5
shakespeare,5



Rising searches
deathly hallows,+2,550%
harry potter spoilers,+1,950%
dumbledore,+350%
barnes and noble.com,+200%
harry potter,+110%
harry potter books,+110%
kite runner,+60%
mugglenet,+60%
harry potter 7,+40%
harry potter movie,+40%



