Web Search interest
United States; 2010

Interest over time
Week,People & Society
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+6%
2010-01-17 - 2010-01-23,+6%
2010-01-24 - 2010-01-30,+4%
2010-01-31 - 2010-02-06,+3%
2010-02-07 - 2010-02-13,+1%
2010-02-14 - 2010-02-20,+6%
2010-02-21 - 2010-02-27,+1%
2010-02-28 - 2010-03-06,+8%
2010-03-07 - 2010-03-13,+7%
2010-03-14 - 2010-03-20,+9%
2010-03-21 - 2010-03-27,+9%
2010-03-28 - 2010-04-03,+10%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,+9%
2010-04-18 - 2010-04-24,+7%
2010-04-25 - 2010-05-01,+9%
2010-05-02 - 2010-05-08,+7%
2010-05-09 - 2010-05-15,+6%
2010-05-16 - 2010-05-22,+7%
2010-05-23 - 2010-05-29,+2%
2010-05-30 - 2010-06-05,+0%
2010-06-06 - 2010-06-12,+1%
2010-06-13 - 2010-06-19,+0%
2010-06-20 - 2010-06-26,+0%
2010-06-27 - 2010-07-03,+1%
2010-07-04 - 2010-07-10,+2%
2010-07-11 - 2010-07-17,+1%
2010-07-18 - 2010-07-24,+6%
2010-07-25 - 2010-07-31,+4%
2010-08-01 - 2010-08-07,+2%
2010-08-08 - 2010-08-14,+3%
2010-08-15 - 2010-08-21,+7%
2010-08-22 - 2010-08-28,+6%
2010-08-29 - 2010-09-04,+4%
2010-09-05 - 2010-09-11,+8%
2010-09-12 - 2010-09-18,+7%
2010-09-19 - 2010-09-25,+8%
2010-09-26 - 2010-10-02,+12%
2010-10-03 - 2010-10-09,+9%
2010-10-10 - 2010-10-16,+11%
2010-10-17 - 2010-10-23,+10%
2010-10-24 - 2010-10-30,+10%
2010-10-31 - 2010-11-06,+7%
2010-11-07 - 2010-11-13,+8%
2010-11-14 - 2010-11-20,+12%
2010-11-21 - 2010-11-27,+3%
2010-11-28 - 2010-12-04,+9%
2010-12-05 - 2010-12-11,+9%
2010-12-12 - 2010-12-18,+4%
2010-12-19 - 2010-12-25,+1%
2010-12-26 - 2011-01-01,+0%



Top searches
baby,100
girls,70
bible,55
pregnancy,50
hot,50
us,35
horoscope,30
love,30
quotes,25
harry potter,20
baby names,20
people,20
jesus,15
social security,15
pandora,15
community,15
babies r us,15
cool math games,15
health care,15
india,15



Rising searches
wikileaks,+3,800%
eddie long,+2,150%
jenn sterger,+1,800%
moshi monsters,+250%
cool math games,+200%
illuminati,+140%
alice in wonderland,+90%
kim kardashian,+70%
google.com,+60%
pandora,+60%



