Web Search interest
United States; 2004

Interest over time
Week,Reference
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+9%
2004-01-18 - 2004-01-24,+6%
2004-01-25 - 2004-01-31,+6%
2004-02-01 - 2004-02-07,+7%
2004-02-08 - 2004-02-14,+14%
2004-02-15 - 2004-02-21,+7%
2004-02-22 - 2004-02-28,+15%
2004-02-29 - 2004-03-06,+14%
2004-03-07 - 2004-03-13,+1%
2004-03-14 - 2004-03-20,+5%
2004-03-21 - 2004-03-27,+6%
2004-03-28 - 2004-04-03,+10%
2004-04-04 - 2004-04-10,+8%
2004-04-11 - 2004-04-17,+9%
2004-04-18 - 2004-04-24,+11%
2004-04-25 - 2004-05-01,+13%
2004-05-02 - 2004-05-08,+10%
2004-05-09 - 2004-05-15,+6%
2004-05-16 - 2004-05-22,+3%
2004-05-23 - 2004-05-29,+2%
2004-05-30 - 2004-06-05,-7%
2004-06-06 - 2004-06-12,-5%
2004-06-13 - 2004-06-19,-11%
2004-06-20 - 2004-06-26,-14%
2004-06-27 - 2004-07-03,-14%
2004-07-04 - 2004-07-10,-14%
2004-07-11 - 2004-07-17,-13%
2004-07-18 - 2004-07-24,-16%
2004-07-25 - 2004-07-31,-15%
2004-08-01 - 2004-08-07,-15%
2004-08-08 - 2004-08-14,-17%
2004-08-15 - 2004-08-21,-13%
2004-08-22 - 2004-08-28,-6%
2004-08-29 - 2004-09-04,-2%
2004-09-05 - 2004-09-11,+2%
2004-09-12 - 2004-09-18,+9%
2004-09-19 - 2004-09-25,+6%
2004-09-26 - 2004-10-02,+8%
2004-10-03 - 2004-10-09,+8%
2004-10-10 - 2004-10-16,+3%
2004-10-17 - 2004-10-23,+8%
2004-10-24 - 2004-10-30,+6%
2004-10-31 - 2004-11-06,+7%
2004-11-07 - 2004-11-13,+3%
2004-11-14 - 2004-11-20,+10%
2004-11-21 - 2004-11-27,+0%
2004-11-28 - 2004-12-04,+6%
2004-12-05 - 2004-12-11,+7%
2004-12-12 - 2004-12-18,+3%
2004-12-19 - 2004-12-25,-14%
2004-12-26 - 2005-01-01,-16%



Top searches
map,100
dictionary,95
quotes,60
history,45
maps,40
spanish,35
white pages,25
yellow pages,25
translation,25
calendar,20
translator,20
zip code,15
zip codes,15
directory,15
conversion,15
georgia,15
english dictionary,15
area code,15
search,10
area codes,10



Rising searches
daylight savings time,+700%
daylight savings,+600%
2005 calendar,+450%
wikipedia,+350%
terra server,+80%
dex,+70%
d-day,+60%
resignation letter,+60%
craigs list,+50%
craigslist,+50%



