Web Search interest
United States; Past 12 months

Interest over time
Week,Jobs & Education
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,-3%
2013-10-13 - 2013-10-19,-5%
2013-10-20 - 2013-10-26,+0%
2013-10-27 - 2013-11-02,-2%
2013-11-03 - 2013-11-09,-2%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,-4%
2013-11-24 - 2013-11-30,-28%
2013-12-01 - 2013-12-07,-8%
2013-12-08 - 2013-12-14,-9%
2013-12-15 - 2013-12-21,-13%
2013-12-22 - 2013-12-28,-48%
2013-12-29 - 2014-01-04,-33%
2014-01-05 - 2014-01-11,+1%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,+0%
2014-01-26 - 2014-02-01,-1%
2014-02-02 - 2014-02-08,-5%
2014-02-09 - 2014-02-15,-9%
2014-02-16 - 2014-02-22,-10%
2014-02-23 - 2014-03-01,-4%
2014-03-02 - 2014-03-08,-6%
2014-03-09 - 2014-03-15,-13%
2014-03-16 - 2014-03-22,-11%
2014-03-23 - 2014-03-29,-8%
2014-03-30 - 2014-04-05,-8%
2014-04-06 - 2014-04-12,-5%
2014-04-13 - 2014-04-19,-15%
2014-04-20 - 2014-04-26,-9%
2014-04-27 - 2014-05-03,-6%
2014-05-04 - 2014-05-10,-9%
2014-05-11 - 2014-05-17,-8%
2014-05-18 - 2014-05-24,-10%
2014-05-25 - 2014-05-31,-15%
2014-06-01 - 2014-06-07,-15%
2014-06-08 - 2014-06-14,-20%
2014-06-15 - 2014-06-21,-25%
2014-06-22 - 2014-06-28,-27%
2014-06-29 - 2014-07-05,-35%
2014-07-06 - 2014-07-12,-25%
2014-07-13 - 2014-07-19,-28%
2014-07-20 - 2014-07-26,-24%
2014-07-27 - 2014-08-02,-20%
2014-08-03 - 2014-08-09,-15%
2014-08-10 - 2014-08-16,-9%
2014-08-17 - 2014-08-23,+5%
2014-08-24 - 2014-08-30,+8%
2014-08-31 - 2014-09-06,+4%
2014-09-07 - 2014-09-13,+6%
2014-09-14 - 2014-09-20,-24%



Top searches
jobs,100
elementary,30
test,20
indeed,15
blackboard,15
resume,15
academy,15
summer,10
barnes and noble,10
rate my professor,5
work,5
cover letter,5
harvard,5
interview questions,5
powerschool,5
careerbuilder,5
masters,5
nebraska,5
ucla,5
indeed jobs,5



Rising searches
als,+250%
uber,+250%
e okul,+130%
reading plus,+100%
achieve 3000,+70%
my big campus,+60%
powerschool,+60%
glassdoor,+50%
teachers pay teachers,+50%
d2l,+40%



