Web Search interest
United States; Past 7 days

Interest over time
Day,Beauty & Fitness
2014-09-10,+0%
2014-09-11,-1%
2014-09-12,-1%
2014-09-13,+5%
2014-09-14,+3%
2014-09-15, 
2014-09-16, 



Top searches
hair,100
tattoo,35
face,25
tattoos,25
yoga,25
hairstyles,20
nails,20
makeup,15
beauty,10
haircuts,10
gym,10
crossfit,10
haircut,5
ulta,5
sephora,5
braids,5
bodybuilding,5
louis vuitton,5
brown hair,5
soap,5



Rising searches
finding fanny,+500%
miss america 2014,+500%
fanny,+400%
miss america,+300%
anna wintour,+200%
diva cup,+190%
extreme weight loss,+80%
rodan and fields,+50%
marc jacobs,+40%



