Web Search interest
United States; Past 7 days

Interest over time
Day,Science
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,-7%
2014-09-13,-35%
2014-09-14,-30%
2014-09-15, 
2014-09-16, 



Top searches
math,100
science,50
java,40
calculator,30
periodic table,30
chemistry,25
cool math,25
windows 7,20
biology,20
northern lights,20
physics,15
javascript,15
animals,15
wolfram,15
brain,15
aurora borealis,15
dna,15
multiplication,10
coolmath,10
wolfram alpha,10



Rising searches
apple event live,Breakout
apple live stream,Breakout
solar storm,Breakout
apple keynote,+2,300%
northern lights,+2,200%
solar flare,+2,200%
aurora borealis,+2,000%
soa,+190%
supermoon,+120%
steve jobs,+100%



