Web Search interest
United States; 2008

Interest over time
Week,Reference
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,-1%
2008-01-27 - 2008-02-02,+0%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,+1%
2008-02-17 - 2008-02-23,+0%
2008-02-24 - 2008-03-01,+5%
2008-03-02 - 2008-03-08,+5%
2008-03-09 - 2008-03-15,+3%
2008-03-16 - 2008-03-22,-1%
2008-03-23 - 2008-03-29,-2%
2008-03-30 - 2008-04-05,+3%
2008-04-06 - 2008-04-12,+4%
2008-04-13 - 2008-04-19,+4%
2008-04-20 - 2008-04-26,+0%
2008-04-27 - 2008-05-03,+3%
2008-05-04 - 2008-05-10,+2%
2008-05-11 - 2008-05-17,+0%
2008-05-18 - 2008-05-24,-3%
2008-05-25 - 2008-05-31,-5%
2008-06-01 - 2008-06-07,-3%
2008-06-08 - 2008-06-14,-8%
2008-06-15 - 2008-06-21,-10%
2008-06-22 - 2008-06-28,-10%
2008-06-29 - 2008-07-05,-11%
2008-07-06 - 2008-07-12,-10%
2008-07-13 - 2008-07-19,-10%
2008-07-20 - 2008-07-26,-13%
2008-07-27 - 2008-08-02,-11%
2008-08-03 - 2008-08-09,-10%
2008-08-10 - 2008-08-16,-10%
2008-08-17 - 2008-08-23,-9%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,+3%
2008-09-07 - 2008-09-13,+5%
2008-09-14 - 2008-09-20,+7%
2008-09-21 - 2008-09-27,+7%
2008-09-28 - 2008-10-04,+4%
2008-10-05 - 2008-10-11,+5%
2008-10-12 - 2008-10-18,+7%
2008-10-19 - 2008-10-25,+7%
2008-10-26 - 2008-11-01,+10%
2008-11-02 - 2008-11-08,+3%
2008-11-09 - 2008-11-15,+2%
2008-11-16 - 2008-11-22,+3%
2008-11-23 - 2008-11-29,-7%
2008-11-30 - 2008-12-06,+1%
2008-12-07 - 2008-12-13,+4%
2008-12-14 - 2008-12-20,+0%
2008-12-21 - 2008-12-27,-19%
2008-12-28 - 2009-01-03,-13%



Top searches
craigslist,100
map,65
dictionary,60
google,50
maps,45
quotes,40
translation,25
wikipedia,25
craigs list,20
calendar,20
white pages,20
definition,20
google maps,20
earth,20
translator,15
yellow pages,15
google earth,15
zip code,15
area code,10
conversion,10



Rising searches
2009 calendar,+1,650%
tradutor,+750%
frases,+300%
google translate,+140%
calendar 2008,+130%
ingles,+130%
yahoo answers,+130%
diccionario,+80%
craigslist,+60%
webster dictionary,+50%



