Web Search interest
United States; 2005

Interest over time
Week,Jobs & Education
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+1%
2005-01-16 - 2005-01-22,-6%
2005-01-23 - 2005-01-29,-1%
2005-01-30 - 2005-02-05,-2%
2005-02-06 - 2005-02-12,-5%
2005-02-13 - 2005-02-19,-9%
2005-02-20 - 2005-02-26,-6%
2005-02-27 - 2005-03-05,-2%
2005-03-06 - 2005-03-12,-6%
2005-03-13 - 2005-03-19,-6%
2005-03-20 - 2005-03-26,-10%
2005-03-27 - 2005-04-02,-9%
2005-04-03 - 2005-04-09,-10%
2005-04-10 - 2005-04-16,-4%
2005-04-17 - 2005-04-23,-7%
2005-04-24 - 2005-04-30,-7%
2005-05-01 - 2005-05-07,-8%
2005-05-08 - 2005-05-14,-8%
2005-05-15 - 2005-05-21,-8%
2005-05-22 - 2005-05-28,-13%
2005-05-29 - 2005-06-04,-15%
2005-06-05 - 2005-06-11,-13%
2005-06-12 - 2005-06-18,-16%
2005-06-19 - 2005-06-25,-14%
2005-06-26 - 2005-07-02,-22%
2005-07-03 - 2005-07-09,-23%
2005-07-10 - 2005-07-16,-20%
2005-07-17 - 2005-07-23,-20%
2005-07-24 - 2005-07-30,-18%
2005-07-31 - 2005-08-06,-13%
2005-08-07 - 2005-08-13,-13%
2005-08-14 - 2005-08-20,-8%
2005-08-21 - 2005-08-27,-3%
2005-08-28 - 2005-09-03,+0%
2005-09-04 - 2005-09-10,-3%
2005-09-11 - 2005-09-17,+2%
2005-09-18 - 2005-09-24,-1%
2005-09-25 - 2005-10-01,-1%
2005-10-02 - 2005-10-08,-4%
2005-10-09 - 2005-10-15,-5%
2005-10-16 - 2005-10-22,-6%
2005-10-23 - 2005-10-29,-5%
2005-10-30 - 2005-11-05,-4%
2005-11-06 - 2005-11-12,-7%
2005-11-13 - 2005-11-19,-6%
2005-11-20 - 2005-11-26,-22%
2005-11-27 - 2005-12-03,-9%
2005-12-04 - 2005-12-10,-11%
2005-12-11 - 2005-12-17,-15%
2005-12-18 - 2005-12-24,-29%
2005-12-25 - 2005-12-31,-36%



Top searches
school,100
college,65
jobs,30
job,15
test,10
resume,10
colleges,10
salary,5
career,5
lesson plans,5
employment,5
harvard,5
washington university,5
princeton,5
barnes and noble,5
careers,5
stanford,5
department of education,5
cover letter,5
job search,0



Rising searches
rate my professor,+130%
edline,+90%
google jobs,+90%
scholar,+80%
common app,+70%
tulane,+60%
jostens,+50%
tulane university,+50%
eb,+40%
resume template,+40%



