Web Search interest
United States; Past 7 days

Interest over time
Day,Jobs & Education
2014-09-10,+0%
2014-09-11,-1%
2014-09-12,-8%
2014-09-13,-30%
2014-09-14,-31%
2014-09-15, 
2014-09-16, 



Top searches
school,100
college,40
jobs,40
test,10
blackboard,10
classroom,5
resume,5
indeed,5
academy,5
google classroom,5
powerschool,5
act,5
barnes and noble,5
moodle,5
notre dame,5
skyward,0
interview questions,0
cover letter,0
d2l,0
usc,0



Rising searches
apple conference,+450%
destiny classes,+190%
act registration,+80%
kent state,+70%
act,+50%
act test dates,+50%
boston college,+40%
college board,+40%
jostens,+40%
naviance,+40%



