Web Search interest
United States; 2005

Interest over time
Week,Law & Government
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+0%
2005-01-16 - 2005-01-22,-4%
2005-01-23 - 2005-01-29,+2%
2005-01-30 - 2005-02-05,+5%
2005-02-06 - 2005-02-12,+1%
2005-02-13 - 2005-02-19,+3%
2005-02-20 - 2005-02-26,+0%
2005-02-27 - 2005-03-05,+5%
2005-03-06 - 2005-03-12,+1%
2005-03-13 - 2005-03-19,+1%
2005-03-20 - 2005-03-26,+2%
2005-03-27 - 2005-04-02,+1%
2005-04-03 - 2005-04-09,+1%
2005-04-10 - 2005-04-16,+8%
2005-04-17 - 2005-04-23,+3%
2005-04-24 - 2005-04-30,+2%
2005-05-01 - 2005-05-07,+3%
2005-05-08 - 2005-05-14,+2%
2005-05-15 - 2005-05-21,-1%
2005-05-22 - 2005-05-28,+1%
2005-05-29 - 2005-06-04,-3%
2005-06-05 - 2005-06-11,+0%
2005-06-12 - 2005-06-18,+2%
2005-06-19 - 2005-06-25,-1%
2005-06-26 - 2005-07-02,-1%
2005-07-03 - 2005-07-09,-1%
2005-07-10 - 2005-07-16,-2%
2005-07-17 - 2005-07-23,-2%
2005-07-24 - 2005-07-30,-5%
2005-07-31 - 2005-08-06,-4%
2005-08-07 - 2005-08-13,-2%
2005-08-14 - 2005-08-20,-4%
2005-08-21 - 2005-08-27,-3%
2005-08-28 - 2005-09-03,+4%
2005-09-04 - 2005-09-10,+6%
2005-09-11 - 2005-09-17,+3%
2005-09-18 - 2005-09-24,+3%
2005-09-25 - 2005-10-01,+2%
2005-10-02 - 2005-10-08,+1%
2005-10-09 - 2005-10-15,+0%
2005-10-16 - 2005-10-22,+3%
2005-10-23 - 2005-10-29,+1%
2005-10-30 - 2005-11-05,+5%
2005-11-06 - 2005-11-12,+3%
2005-11-13 - 2005-11-19,+3%
2005-11-20 - 2005-11-26,-15%
2005-11-27 - 2005-12-03,-2%
2005-12-04 - 2005-12-10,-4%
2005-12-11 - 2005-12-17,-4%
2005-12-18 - 2005-12-24,-16%
2005-12-25 - 2005-12-31,-23%



Top searches
mapquest,100
map quest,35
army,30
states,20
act,20
navy,20
united states,20
fire,15
air force,15
passport,15
bush,15
supreme court,15
immigration,15
visa,15
maps,10
constitution,10
driving directions,10
unemployment,10
lawyer,10
grants,10



Rising searches
cindy sheehan,Breakout
jarhead,+2,200%
wikipedia,+350%
prince charles,+250%
fema,+110%
red cross,+110%
american red cross,+90%
ako webmail,+80%
uscis,+60%
map quest,+40%



