Web Search interest
United States; Past 7 days

Interest over time
Day,News
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,-2%
2014-09-13,-7%
2014-09-14,-11%
2014-09-15, 
2014-09-16, 



Top searches
weather,100
news,75
cnn,20
fox news,15
yahoo,10
apple,5
weather channel,5
weather radar,5
drudge,5
espn,5
accuweather,5
weather forecast,5
bbc,5
cnn news,5
kim kardashian,5
drudge report,5
huffington post,5
miley cyrus,5
google news,5
daily news,5



Rising searches
apple live,Breakout
apple live stream,Breakout
sarah palin,+450%
apple,+400%
ellen degeneres,+140%
apple stock,+100%
aapl,+70%
livescore,+70%
jennifer lopez,+60%
weather chicago,+50%



