Web Search interest
United States; Past 30 days

Interest over time
Day,Science
2014-08-17,+0%
2014-08-18,+33%
2014-08-19,+39%
2014-08-20,+41%
2014-08-21,+43%
2014-08-22,+37%
2014-08-23,+0%
2014-08-24,+14%
2014-08-25,+49%
2014-08-26,+65%
2014-08-27,+73%
2014-08-28,+71%
2014-08-29,+57%
2014-08-30,+6%
2014-08-31,+10%
2014-09-01,+27%
2014-09-02,+67%
2014-09-03,+82%
2014-09-04,+90%
2014-09-05,+76%
2014-09-06,+16%
2014-09-07,+35%
2014-09-08,+90%
2014-09-09,+104%
2014-09-10,+104%
2014-09-11,+98%
2014-09-12,+86%
2014-09-13,+31%
2014-09-14,+39%
2014-09-15, 
2014-09-16, 



Top searches
math,100
science,50
java,45
windows 7,30
calculator,30
chemistry,25
cool math,25
periodic table,25
biology,25
engineering,20
two,20
algebra,20
physics,20
javascript,15
brain,15
black widow,15
multiplication,10
dna,10
divergent,10
wolfram,10



Rising searches
periodic table,+170%
coolmath,+140%
algebra,+120%
biology,+120%
wolfram,+120%
wolfram alpha,+120%
chemistry,+110%
math,+100%
cool math,+90%
multiplication,+90%



