Web Search interest
United States; Past 90 days

Interest over time
Day,Real Estate
2014-06-17,+0%
2014-06-18,+3%
2014-06-19,-2%
2014-06-20,-1%
2014-06-21,-5%
2014-06-22,-4%
2014-06-23,+3%
2014-06-24,+1%
2014-06-25,+0%
2014-06-26,-5%
2014-06-27,-3%
2014-06-28,-8%
2014-06-29,-4%
2014-06-30,+2%
2014-07-01,-2%
2014-07-02,+3%
2014-07-03,-3%
2014-07-04,-13%
2014-07-05,-4%
2014-07-06,+0%
2014-07-07,+8%
2014-07-08,+1%
2014-07-09,+2%
2014-07-10,+1%
2014-07-11,-4%
2014-07-12,-5%
2014-07-13,-9%
2014-07-14,+5%
2014-07-15,+2%
2014-07-16,+3%
2014-07-17,+0%
2014-07-18,-3%
2014-07-19,-4%
2014-07-20,-2%
2014-07-21,+3%
2014-07-22,+2%
2014-07-23,+5%
2014-07-24,+1%
2014-07-25,+0%
2014-07-26,-4%
2014-07-27,+1%
2014-07-28,+6%
2014-07-29,+6%
2014-07-30,+2%
2014-07-31,+2%
2014-08-01,-3%
2014-08-02,-6%
2014-08-03,-2%
2014-08-04,+5%
2014-08-05,+2%
2014-08-06,+1%
2014-08-07,-2%
2014-08-08,-5%
2014-08-09,-10%
2014-08-10,-6%
2014-08-11,-3%
2014-08-12,-8%
2014-08-13,-5%
2014-08-14,-6%
2014-08-15,-9%
2014-08-16,-11%
2014-08-17,-9%
2014-08-18,-1%
2014-08-19,-4%
2014-08-20,-6%
2014-08-21,-10%
2014-08-22,-10%
2014-08-23,-14%
2014-08-24,-12%
2014-08-25,-5%
2014-08-26,-9%
2014-08-27,-9%
2014-08-28,-12%
2014-08-29,-13%
2014-08-30,-15%
2014-08-31,-15%
2014-09-01,-14%
2014-09-02,-6%
2014-09-03,-13%
2014-09-04,-13%
2014-09-05,-15%
2014-09-06,-17%
2014-09-07,-20%
2014-09-08,-9%
2014-09-09,-16%
2014-09-10,-15%
2014-09-11,-18%
2014-09-12,-18%
2014-09-13,-20%
2014-09-14,-22%
2014-09-15, 
2014-09-16, 



Top searches
apartments,100
rent,90
for rent,75
homes for sale,45
zillow,45
real,45
house,40
houses,40
real estate,40
home,30
florida,30
houses for rent,20
homes for rent,20
apartments for rent,20
realtor,15
houses for sale,15
trulia,10
vrbo,10
tulsa,10
ny craigslist,10



Rising searches
ryan dorsey,Breakout
david wilson,+750%
fixer upper hgtv,+300%
sia,+300%
tiny house plans,+140%
tiny houses,+130%
google location history,+110%
big bear cabins,+80%
door county,+80%
location history,+60%



