Web Search interest
United States; Past 7 days

Interest over time
Day,Hobbies & Leisure
2014-09-10,+0%
2014-09-11,+2%
2014-09-12,+6%
2014-09-13,+20%
2014-09-14,+18%
2014-09-15, 
2014-09-16, 



Top searches
dog,100
lottery,95
dogs,45
cat,45
puppies,35
fish,30
halloween,30
cats,20
camera,20
happy birthday,20
kayak,20
flowers,15
puppy,15
petsmart,15
anaconda,15
party city,15
powerball,15
fall,10
lotto,10
mega millions,10



Rising searches
giancarlo stanton,+3,100%
dolphin tale 2,+250%
dolphin tale,+200%
gazelle,+110%
janay palmer,+80%
dolphin,+70%
oktoberfest,+60%
lions,+50%
anaconda,+40%
halloween,+40%



