Web Search interest
United States; Past 7 days

Interest over time
Day,Health
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,-6%
2014-09-13,-23%
2014-09-14,-22%
2014-09-15, 
2014-09-16, 



Top searches
walgreens,100
heart,90
weed,75
cvs,60
diabetes,55
ebola,55
marijuana,50
blood pressure,50
anxiety,45
enterovirus,45
walmart,40
depression,40
urgent care,35
herpes,30
thyroid,30
diarrhea,30
5676977,30
physical therapy,30
autism,30
webmd,30



Rising searches
contrave,Breakout
male birth control,+1,350%
anencephaly,+600%
benzodiazepines,+600%
nfl drug policy,+300%
enterovirus,+170%
respiratory virus,+140%
5676977,+90%
enterovirus 68,+60%
doug martin,+50%



