Web Search interest
United States; 2007

Interest over time
Week,Autos & Vehicles
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-2%
2007-01-21 - 2007-01-27,+4%
2007-01-28 - 2007-02-03,+0%
2007-02-04 - 2007-02-10,-1%
2007-02-11 - 2007-02-17,-1%
2007-02-18 - 2007-02-24,+2%
2007-02-25 - 2007-03-03,+0%
2007-03-04 - 2007-03-10,+4%
2007-03-11 - 2007-03-17,+4%
2007-03-18 - 2007-03-24,+5%
2007-03-25 - 2007-03-31,+10%
2007-04-01 - 2007-04-07,+8%
2007-04-08 - 2007-04-14,+7%
2007-04-15 - 2007-04-21,+6%
2007-04-22 - 2007-04-28,+13%
2007-04-29 - 2007-05-05,+12%
2007-05-06 - 2007-05-12,+14%
2007-05-13 - 2007-05-19,+17%
2007-05-20 - 2007-05-26,+18%
2007-05-27 - 2007-06-02,+18%
2007-06-03 - 2007-06-09,+11%
2007-06-10 - 2007-06-16,+12%
2007-06-17 - 2007-06-23,+17%
2007-06-24 - 2007-06-30,+14%
2007-07-01 - 2007-07-07,+15%
2007-07-08 - 2007-07-14,+17%
2007-07-15 - 2007-07-21,+19%
2007-07-22 - 2007-07-28,+15%
2007-07-29 - 2007-08-04,+13%
2007-08-05 - 2007-08-11,+14%
2007-08-12 - 2007-08-18,+12%
2007-08-19 - 2007-08-25,+12%
2007-08-26 - 2007-09-01,+11%
2007-09-02 - 2007-09-08,+6%
2007-09-09 - 2007-09-15,+2%
2007-09-16 - 2007-09-22,+4%
2007-09-23 - 2007-09-29,+1%
2007-09-30 - 2007-10-06,+0%
2007-10-07 - 2007-10-13,-1%
2007-10-14 - 2007-10-20,-1%
2007-10-21 - 2007-10-27,-5%
2007-10-28 - 2007-11-03,-6%
2007-11-04 - 2007-11-10,-1%
2007-11-11 - 2007-11-17,-2%
2007-11-18 - 2007-11-24,+4%
2007-11-25 - 2007-12-01,-4%
2007-12-02 - 2007-12-08,-5%
2007-12-09 - 2007-12-15,-10%
2007-12-16 - 2007-12-22,-8%
2007-12-23 - 2007-12-29,+0%
2007-12-30 - 2008-01-05,-2%



Top searches
car,100
honda,75
auto,75
ford,70
cars,70
toyota,65
dmv,40
nissan,35
blue book,35
bmw,35
dodge,35
chevy,30
tires,30
jeep,25
chevrolet,20
ebay,20
mustang,20
kelly blue book,20
wheels,20
used cars,20



Rising searches
craigslist,+180%
tomtom,+150%
garmin,+70%
garmin gps,+60%
nissan altima,+60%
break,+50%
smart car,+50%
spirit airlines,+50%
toyota prius,+50%
kayak,+40%



