Web Search interest
United States; 2010

Interest over time
Week,Jobs & Education
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-4%
2010-01-17 - 2010-01-23,-6%
2010-01-24 - 2010-01-30,-4%
2010-01-31 - 2010-02-06,-4%
2010-02-07 - 2010-02-13,-8%
2010-02-14 - 2010-02-20,-10%
2010-02-21 - 2010-02-27,-6%
2010-02-28 - 2010-03-06,-4%
2010-03-07 - 2010-03-13,-10%
2010-03-14 - 2010-03-20,-9%
2010-03-21 - 2010-03-27,-8%
2010-03-28 - 2010-04-03,-14%
2010-04-04 - 2010-04-10,-10%
2010-04-11 - 2010-04-17,-8%
2010-04-18 - 2010-04-24,-11%
2010-04-25 - 2010-05-01,-6%
2010-05-02 - 2010-05-08,-12%
2010-05-09 - 2010-05-15,-13%
2010-05-16 - 2010-05-22,-11%
2010-05-23 - 2010-05-29,-14%
2010-05-30 - 2010-06-05,-18%
2010-06-06 - 2010-06-12,-15%
2010-06-13 - 2010-06-19,-20%
2010-06-20 - 2010-06-26,-22%
2010-06-27 - 2010-07-03,-26%
2010-07-04 - 2010-07-10,-29%
2010-07-11 - 2010-07-17,-24%
2010-07-18 - 2010-07-24,-25%
2010-07-25 - 2010-07-31,-24%
2010-08-01 - 2010-08-07,-18%
2010-08-08 - 2010-08-14,-16%
2010-08-15 - 2010-08-21,-9%
2010-08-22 - 2010-08-28,-3%
2010-08-29 - 2010-09-04,-3%
2010-09-05 - 2010-09-11,-6%
2010-09-12 - 2010-09-18,-4%
2010-09-19 - 2010-09-25,-5%
2010-09-26 - 2010-10-02,-5%
2010-10-03 - 2010-10-09,-5%
2010-10-10 - 2010-10-16,-13%
2010-10-17 - 2010-10-23,-11%
2010-10-24 - 2010-10-30,-10%
2010-10-31 - 2010-11-06,-12%
2010-11-07 - 2010-11-13,-10%
2010-11-14 - 2010-11-20,-9%
2010-11-21 - 2010-11-27,-31%
2010-11-28 - 2010-12-04,-13%
2010-12-05 - 2010-12-11,-14%
2010-12-12 - 2010-12-18,-17%
2010-12-19 - 2010-12-25,-39%
2010-12-26 - 2011-01-01,-42%



Top searches
college,100
jobs,75
test,15
resume,15
academy,10
barnes and noble,5
blackboard,5
cover letter,5
indeed,5
interview questions,5
mba,5
washington university,5
act,5
stanford,5
rate my professor,5
ucla,5
masters,5
concursos,5
university of phoenix,5
fac,5



Rising searches
enem 2010,+1,200%
e okul,+350%
indeed jobs,+170%
careerbuilder,+70%
indeed,+70%
tcu,+60%
fac,+50%
moodle,+50%
brainpop,+40%
maxpreps,+40%



