Web Search interest
United States; Past 90 days

Interest over time
Day,Home & Garden
2014-06-17,+0%
2014-06-18,-3%
2014-06-19,-2%
2014-06-20,-5%
2014-06-21,+7%
2014-06-22,+8%
2014-06-23,+2%
2014-06-24,-1%
2014-06-25,-1%
2014-06-26,-5%
2014-06-27,-2%
2014-06-28,+9%
2014-06-29,+11%
2014-06-30,+2%
2014-07-01,-2%
2014-07-02,-2%
2014-07-03,-1%
2014-07-04,+0%
2014-07-05,+10%
2014-07-06,+13%
2014-07-07,+7%
2014-07-08,+1%
2014-07-09,-2%
2014-07-10,-2%
2014-07-11,-3%
2014-07-12,+7%
2014-07-13,+3%
2014-07-14,+1%
2014-07-15,-3%
2014-07-16,+0%
2014-07-17,-5%
2014-07-18,-2%
2014-07-19,+7%
2014-07-20,+13%
2014-07-21,+2%
2014-07-22,-1%
2014-07-23,-1%
2014-07-24,-3%
2014-07-25,-3%
2014-07-26,+7%
2014-07-27,+15%
2014-07-28,+3%
2014-07-29,-2%
2014-07-30,-1%
2014-07-31,-5%
2014-08-01,-3%
2014-08-02,+7%
2014-08-03,+10%
2014-08-04,+0%
2014-08-05,-2%
2014-08-06,-3%
2014-08-07,-5%
2014-08-08,-5%
2014-08-09,+3%
2014-08-10,+5%
2014-08-11,-2%
2014-08-12,-8%
2014-08-13,-6%
2014-08-14,-5%
2014-08-15,-8%
2014-08-16,+1%
2014-08-17,+6%
2014-08-18,-1%
2014-08-19,-7%
2014-08-20,-8%
2014-08-21,-7%
2014-08-22,-5%
2014-08-23,+7%
2014-08-24,+5%
2014-08-25,-5%
2014-08-26,-10%
2014-08-27,-10%
2014-08-28,-9%
2014-08-29,-8%
2014-08-30,+5%
2014-08-31,+8%
2014-09-01,+9%
2014-09-02,-8%
2014-09-03,-13%
2014-09-04,-14%
2014-09-05,-17%
2014-09-06,-1%
2014-09-07,-2%
2014-09-08,-7%
2014-09-09,-13%
2014-09-10,-15%
2014-09-11,-16%
2014-09-12,-14%
2014-09-13,-3%
2014-09-14,-3%
2014-09-15, 
2014-09-16, 



Top searches
home depot,100
lowes,80
bed,70
ikea,40
pool,40
mattress,30
bed bath beyond,30
amc,25
amazon,25
walmart,20
pottery barn,20
carpet,20
refrigerator,15
sears,15
target,15
box,15
air conditioner,15
menards,15
lights,10
clock,10



Rising searches
chandelier lyrics,+550%
hemlock grove,+450%
sia chandelier,+250%
sia chandelier lyrics,+250%
chandelier,+120%
ikea usa,+90%
mini fridge,+70%
pbteen,+60%
dehumidifier,+50%
sleep number bed,+50%



