Web Search interest
United States; 2010

Interest over time
Week,Travel
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-4%
2010-01-17 - 2010-01-23,-6%
2010-01-24 - 2010-01-30,-11%
2010-01-31 - 2010-02-06,-9%
2010-02-07 - 2010-02-13,-4%
2010-02-14 - 2010-02-20,-8%
2010-02-21 - 2010-02-27,-3%
2010-02-28 - 2010-03-06,-4%
2010-03-07 - 2010-03-13,-2%
2010-03-14 - 2010-03-20,-4%
2010-03-21 - 2010-03-27,-3%
2010-03-28 - 2010-04-03,-3%
2010-04-04 - 2010-04-10,-3%
2010-04-11 - 2010-04-17,-4%
2010-04-18 - 2010-04-24,-3%
2010-04-25 - 2010-05-01,-7%
2010-05-02 - 2010-05-08,-4%
2010-05-09 - 2010-05-15,-2%
2010-05-16 - 2010-05-22,+2%
2010-05-23 - 2010-05-29,+3%
2010-05-30 - 2010-06-05,+4%
2010-06-06 - 2010-06-12,+4%
2010-06-13 - 2010-06-19,+7%
2010-06-20 - 2010-06-26,+10%
2010-06-27 - 2010-07-03,+10%
2010-07-04 - 2010-07-10,+11%
2010-07-11 - 2010-07-17,+8%
2010-07-18 - 2010-07-24,+12%
2010-07-25 - 2010-07-31,+10%
2010-08-01 - 2010-08-07,+7%
2010-08-08 - 2010-08-14,+8%
2010-08-15 - 2010-08-21,+1%
2010-08-22 - 2010-08-28,-4%
2010-08-29 - 2010-09-04,-4%
2010-09-05 - 2010-09-11,-7%
2010-09-12 - 2010-09-18,-9%
2010-09-19 - 2010-09-25,-13%
2010-09-26 - 2010-10-02,-8%
2010-10-03 - 2010-10-09,-12%
2010-10-10 - 2010-10-16,-15%
2010-10-17 - 2010-10-23,-17%
2010-10-24 - 2010-10-30,-16%
2010-10-31 - 2010-11-06,-21%
2010-11-07 - 2010-11-13,-16%
2010-11-14 - 2010-11-20,-18%
2010-11-21 - 2010-11-27,-19%
2010-11-28 - 2010-12-04,-22%
2010-12-05 - 2010-12-11,-24%
2010-12-12 - 2010-12-18,-19%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,+3%



Top searches
hotels,100
beach,80
flights,70
las vegas,65
southwest,60
delta,50
car rental,45
southwest airlines,40
travel,40
american,40
disney,35
cruise,35
united,35
delta airlines,30
american airlines,30
cheap flights,30
expedia,30
marriott,25
hilton,25
travelocity,25



Rising searches
megabus,+70%
santander,+60%
jet blue flights,+50%
ryanair,+50%
tripadvisor,+50%
volaris,+50%
bora bora,+40%
google maps,+40%
jetblue,+40%
universal studios hollywood,+40%



