Web Search interest
United States; 2012

Interest over time
Week,Finance
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+0%
2012-01-15 - 2012-01-21,+1%
2012-01-22 - 2012-01-28,+12%
2012-01-29 - 2012-02-04,+22%
2012-02-05 - 2012-02-11,+13%
2012-02-12 - 2012-02-18,+9%
2012-02-19 - 2012-02-25,+6%
2012-02-26 - 2012-03-03,+7%
2012-03-04 - 2012-03-10,+1%
2012-03-11 - 2012-03-17,-1%
2012-03-18 - 2012-03-24,-5%
2012-03-25 - 2012-03-31,+0%
2012-04-01 - 2012-04-07,-1%
2012-04-08 - 2012-04-14,+6%
2012-04-15 - 2012-04-21,+2%
2012-04-22 - 2012-04-28,-7%
2012-04-29 - 2012-05-05,-5%
2012-05-06 - 2012-05-12,-5%
2012-05-13 - 2012-05-19,-2%
2012-05-20 - 2012-05-26,-6%
2012-05-27 - 2012-06-02,-7%
2012-06-03 - 2012-06-09,-1%
2012-06-10 - 2012-06-16,-6%
2012-06-17 - 2012-06-23,-5%
2012-06-24 - 2012-06-30,-2%
2012-07-01 - 2012-07-07,-9%
2012-07-08 - 2012-07-14,-4%
2012-07-15 - 2012-07-21,-1%
2012-07-22 - 2012-07-28,-6%
2012-07-29 - 2012-08-04,+0%
2012-08-05 - 2012-08-11,-5%
2012-08-12 - 2012-08-18,-5%
2012-08-19 - 2012-08-25,-5%
2012-08-26 - 2012-09-01,-7%
2012-09-02 - 2012-09-08,-10%
2012-09-09 - 2012-09-15,-6%
2012-09-16 - 2012-09-22,-6%
2012-09-23 - 2012-09-29,-5%
2012-09-30 - 2012-10-06,-4%
2012-10-07 - 2012-10-13,-5%
2012-10-14 - 2012-10-20,-6%
2012-10-21 - 2012-10-27,-11%
2012-10-28 - 2012-11-03,-12%
2012-11-04 - 2012-11-10,-10%
2012-11-11 - 2012-11-17,-9%
2012-11-18 - 2012-11-24,-20%
2012-11-25 - 2012-12-01,-9%
2012-12-02 - 2012-12-08,-9%
2012-12-09 - 2012-12-15,-10%
2012-12-16 - 2012-12-22,-7%
2012-12-23 - 2012-12-29,-18%
2012-12-30 - 2013-01-05,-1%



Top searches
bank,100
wells fargo,30
bank of america,30
chase,30
credit card,10
capital one,10
irs,5
pnc,5
american express,5
money,5
us bank,5
chase online,5
citibank,5
chase bank,5
usaa,5
suntrust,5
mortgage calculator,5
fafsa,5
first bank,5
finance,5



Rising searches
facebook stock,+850%
downton abbey,+400%
wheres my refund,+200%
first niagara,+100%
walmart money card,+80%
irs refund,+60%
ncsecu,+50%
turbotax,+50%
care credit,+40%
esurance,+40%



